ID;TIME;SATISFACAO;ATIVIDADE;COMUNICACAO
Dev_0;roslyn;0.2688894052044608;1.0;0.6663920922570017
Dev_5;eShop;0.2246238963754646;0.3837880331710867;1.0
Dev_7;winforms;0.1684479553903344;0.3127287788342257;0.4735035694673256
Dev_8;sdk;0.106713317297179;0.3061785783459229;0.14332784184514
Dev_10;INDEFINIDO;0.1548210966542751;0.2831672061667181;0.1760021965952773
Dev_11;aspnetcore;0.1932919543281996;0.2734955737088559;0.3215266337177375
Dev_13;aspire;0.1451301115241634;0.242041623020333;0.2322899505766062
Dev_14;roslyn;0.2198121348911311;0.2386015386878799;0.3934651290499725
Dev_15;winforms;0.1561338289962825;0.2300837739894642;0.4605985722130697
Dev_16;AspNetCore.Docs;0.2158271375464682;0.2261456354767357;0.8687534321801208
Dev_19;INDEFINIDO;0.1612453531598511;0.2219893651824471;0.0701537616694124
Dev_20;runtime;0.2042618162506636;0.2157733442917918;0.5712520593080724
Dev_21;INDEFINIDO;0.3022769516728624;0.2103029474427772;0.0569741900054914
Dev_23;interactive;0.1235478624535314;0.2048806626922479;0.1227347611202635
Dev_24;AspNetCore.Docs;0.1227346654275092;0.2043177155639785;0.7559033498077979
Dev_26;INDEFINIDO;0.1188719795539032;0.1981371979355368;0.1544481054365733
Dev_30;INDEFINIDO;0.2151284952319377;0.1811874081416413;0.1941241076331686
Dev_31;installer;0.1080888210302706;0.1800862223979099;0.2160900604063701
Dev_32;INDEFINIDO;0.3258596654275092;0.1777068236430886;0.0498352553542009
Dev_34;INDEFINIDO;0.220487514142557;0.1738566983535158;0.6484074684239429
Dev_37;arcade;0.2094101011312306;0.1596851439614702;0.5954146073585942
Dev_38;razor;0.1401951672862452;0.1543757537878603;0.1254805052169137
Dev_39;runtime;0.4892790759426444;0.154174569957905;0.0996705107084019
Dev_40;aspire;0.1343741063768943;0.1527508050391463;0.3266062602965403
Dev_45;razor;0.0981986660835337;0.144356173614129;0.1821801208127402
Dev_46;INDEFINIDO;0.1174312830911343;0.1439308410084634;0.1589785831960461
Dev_49;roslyn;0.2046131906165874;0.1391301948283058;0.2602965403624382
Dev_50;csharplang;0.1606601955114965;0.1389319934830411;0.2145799011532125
Dev_51;INDEFINIDO;0.249445953674578;0.1388309730244993;0.2159527732015376
