F_SATISFACAO;F_ATIVIDADE;F_COMUNICACAO;Dev_10;Dev_19;Dev_21;Dev_26;Dev_30;Dev_32;Dev_34;Dev_46;Dev_51;Dev_79;Dev_88;Dev_89;Dev_98;Dev_107;Dev_121;Dev_131;Dev_156;Dev_166;Dev_171;Dev_227;Dev_232;Dev_275;Dev_276;Dev_280;Dev_292;Dev_310;Dev_322;Dev_329;Dev_343;Dev_346;Dev_430;Dev_459;Dev_488
1.028446377893311;0.44449816521406954;0.8736604457904226;eShop;core;orleans;csharplang;docfx;msbuild;dotnet-api-docs;maui;fsharp;INDEFINIDO;EntityFramework.Docs;INDEFINIDO;install-scripts;INDEFINIDO;project-system;tye;winforms;razor;INDEFINIDO;efcore;AspNetCore.Docs;docs;INDEFINIDO;maintenance-packages;INDEFINIDO;arcade;aspire;interactive;installer;sdk;runtime;aspnetcore;roslyn
1.0197340185546515;0.46105288816878615;0.8849383278777241;maui;INDEFINIDO;docfx;INDEFINIDO;core;sdk;dotnet-api-docs;aspire;razor;maintenance-packages;fsharp;install-scripts;INDEFINIDO;aspnetcore;EntityFramework.Docs;project-system;eShop;msbuild;installer;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;roslyn;docs;interactive;runtime;INDEFINIDO;orleans;tye;efcore;arcade;csharplang;winforms
1.0219068453473;0.4550736147030924;0.8794904380418693;EntityFramework.Docs;INDEFINIDO;fsharp;msbuild;csharplang;eShop;dotnet-api-docs;maui;sdk;INDEFINIDO;tye;interactive;aspire;AspNetCore.Docs;installer;install-scripts;aspnetcore;INDEFINIDO;core;INDEFINIDO;INDEFINIDO;arcade;winforms;roslyn;project-system;runtime;INDEFINIDO;docs;docfx;maintenance-packages;razor;orleans;efcore
1.0267230732642;0.4424376545182321;0.8858921623139854;install-scripts;EntityFramework.Docs;core;eShop;orleans;docfx;tye;razor;INDEFINIDO;INDEFINIDO;sdk;dotnet-api-docs;maui;efcore;msbuild;fsharp;project-system;INDEFINIDO;aspnetcore;INDEFINIDO;maintenance-packages;arcade;INDEFINIDO;installer;csharplang;AspNetCore.Docs;aspire;INDEFINIDO;interactive;runtime;docs;winforms;roslyn
1.0261256808868147;0.445620649932129;0.8783445821658564;EntityFramework.Docs;INDEFINIDO;core;efcore;razor;tye;install-scripts;installer;INDEFINIDO;INDEFINIDO;msbuild;fsharp;project-system;maui;dotnet-api-docs;sdk;INDEFINIDO;docfx;orleans;eShop;INDEFINIDO;aspnetcore;maintenance-packages;arcade;csharplang;AspNetCore.Docs;aspire;INDEFINIDO;interactive;runtime;docs;winforms;roslyn
1.0212700977325013;0.44637867743026405;0.8863495504785677;msbuild;fsharp;project-system;maui;dotnet-api-docs;tye;razor;efcore;INDEFINIDO;core;EntityFramework.Docs;sdk;INDEFINIDO;INDEFINIDO;INDEFINIDO;orleans;csharplang;eShop;installer;INDEFINIDO;aspire;AspNetCore.Docs;docfx;aspnetcore;INDEFINIDO;runtime;interactive;arcade;install-scripts;maintenance-packages;docs;winforms;roslyn
1.02846115112707;0.44527143975097183;0.8634349009207668;EntityFramework.Docs;INDEFINIDO;msbuild;fsharp;project-system;core;tye;dotnet-api-docs;maui;efcore;razor;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;docfx;aspnetcore;install-scripts;maintenance-packages;INDEFINIDO;arcade;installer;eShop;runtime;interactive;INDEFINIDO;aspire;AspNetCore.Docs;orleans;csharplang;docs;winforms;roslyn
1.0272835365376194;0.4476024925247424;0.8617219676063229;EntityFramework.Docs;INDEFINIDO;msbuild;fsharp;project-system;core;docfx;INDEFINIDO;INDEFINIDO;sdk;INDEFINIDO;razor;efcore;maui;dotnet-api-docs;tye;aspnetcore;install-scripts;maintenance-packages;INDEFINIDO;arcade;installer;eShop;runtime;interactive;INDEFINIDO;aspire;AspNetCore.Docs;orleans;csharplang;docs;winforms;roslyn
1.0199980191083673;0.4729298207980667;0.8789104331455173;sdk;INDEFINIDO;INDEFINIDO;maintenance-packages;eShop;fsharp;tye;maui;orleans;roslyn;dotnet-api-docs;project-system;INDEFINIDO;install-scripts;INDEFINIDO;EntityFramework.Docs;winforms;razor;INDEFINIDO;csharplang;efcore;INDEFINIDO;docs;AspNetCore.Docs;docfx;runtime;msbuild;installer;core;aspnetcore;interactive;aspire;arcade
1.0345088146192785;0.448830517691636;0.8572667549281248;msbuild;winforms;project-system;fsharp;EntityFramework.Docs;INDEFINIDO;install-scripts;dotnet-api-docs;tye;interactive;orleans;installer;efcore;razor;core;INDEFINIDO;INDEFINIDO;sdk;maui;arcade;INDEFINIDO;eShop;aspire;runtime;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;aspnetcore;csharplang;docfx;docs;maintenance-packages;roslyn
1.031983265953811;0.44185383091778613;0.8668306634547437;EntityFramework.Docs;INDEFINIDO;core;project-system;fsharp;msbuild;tye;orleans;docfx;INDEFINIDO;sdk;dotnet-api-docs;maui;efcore;razor;install-scripts;arcade;csharplang;INDEFINIDO;winforms;aspire;AspNetCore.Docs;interactive;INDEFINIDO;installer;maintenance-packages;roslyn;INDEFINIDO;eShop;INDEFINIDO;aspnetcore;docs;runtime
1.0217330196376784;0.45964569819722084;0.8679427136657847;msbuild;docfx;EntityFramework.Docs;INDEFINIDO;core;interactive;dotnet-api-docs;maui;orleans;roslyn;install-scripts;razor;AspNetCore.Docs;INDEFINIDO;INDEFINIDO;project-system;maintenance-packages;csharplang;winforms;docs;aspire;arcade;INDEFINIDO;runtime;tye;efcore;sdk;eShop;fsharp;installer;INDEFINIDO;INDEFINIDO;aspnetcore
1.0175752552215498;0.4653640053841488;0.8906022449850375;project-system;fsharp;core;efcore;razor;tye;msbuild;roslyn;EntityFramework.Docs;maui;dotnet-api-docs;sdk;INDEFINIDO;INDEFINIDO;INDEFINIDO;docfx;aspnetcore;INDEFINIDO;maintenance-packages;install-scripts;arcade;installer;interactive;AspNetCore.Docs;aspire;runtime;eShop;csharplang;orleans;INDEFINIDO;docs;INDEFINIDO;winforms
1.018265848793385;0.45151839627634055;0.9059169864647617;install-scripts;msbuild;interactive;INDEFINIDO;eShop;dotnet-api-docs;EntityFramework.Docs;maui;docfx;maintenance-packages;installer;INDEFINIDO;orleans;AspNetCore.Docs;INDEFINIDO;razor;efcore;project-system;aspnetcore;aspire;INDEFINIDO;core;csharplang;sdk;winforms;runtime;fsharp;arcade;tye;docs;roslyn;INDEFINIDO;INDEFINIDO
1.034618869197996;0.45779797777850684;0.8542392727722226;project-system;aspnetcore;core;maui;INDEFINIDO;eShop;tye;msbuild;docfx;docs;orleans;EntityFramework.Docs;aspire;INDEFINIDO;razor;interactive;install-scripts;csharplang;INDEFINIDO;fsharp;maintenance-packages;INDEFINIDO;efcore;AspNetCore.Docs;winforms;arcade;roslyn;dotnet-api-docs;INDEFINIDO;installer;INDEFINIDO;sdk;runtime
1.0206142383275736;0.44538626728812114;0.8932148026938388;csharplang;INDEFINIDO;orleans;efcore;EntityFramework.Docs;docfx;install-scripts;INDEFINIDO;dotnet-api-docs;project-system;msbuild;eShop;maui;arcade;tye;interactive;INDEFINIDO;fsharp;aspnetcore;sdk;maintenance-packages;core;INDEFINIDO;aspire;installer;runtime;winforms;razor;INDEFINIDO;docs;roslyn;AspNetCore.Docs;INDEFINIDO
1.0206748838326956;0.4509044103660295;0.8844106082005098;INDEFINIDO;install-scripts;project-system;efcore;EntityFramework.Docs;razor;docfx;interactive;core;maintenance-packages;orleans;INDEFINIDO;sdk;docs;INDEFINIDO;tye;aspnetcore;maui;installer;aspire;arcade;INDEFINIDO;INDEFINIDO;csharplang;fsharp;runtime;AspNetCore.Docs;dotnet-api-docs;eShop;INDEFINIDO;msbuild;winforms;roslyn
