F_SATISFACAO;F_ATIVIDADE;F_COMUNICACAO;Dev_10;Dev_19;Dev_21;Dev_26;Dev_30;Dev_32;Dev_34;Dev_46;Dev_51;Dev_79;Dev_88;Dev_89;Dev_98;Dev_107;Dev_121;Dev_131;Dev_156;Dev_166;Dev_171;Dev_227;Dev_232;Dev_275;Dev_276;Dev_280;Dev_292;Dev_310;Dev_322;Dev_329;Dev_343;Dev_346;Dev_430;Dev_459;Dev_488
1.0193083367565852;0.4420092946298594;0.9156653766115166;EntityFramework.Docs;docfx;orleans;install-scripts;msbuild;tye;project-system;maui;dotnet-api-docs;INDEFINIDO;sdk;csharplang;INDEFINIDO;core;eShop;AspNetCore.Docs;maintenance-packages;installer;efcore;INDEFINIDO;INDEFINIDO;INDEFINIDO;aspnetcore;arcade;winforms;runtime;fsharp;interactive;razor;roslyn;docs;INDEFINIDO;aspire
1.0152462041561432;0.47341542101479384;0.9020605288166061;installer;INDEFINIDO;install-scripts;INDEFINIDO;interactive;dotnet-api-docs;fsharp;roslyn;tye;maintenance-packages;orleans;project-system;aspire;csharplang;EntityFramework.Docs;docfx;INDEFINIDO;winforms;docs;maui;core;razor;INDEFINIDO;efcore;msbuild;runtime;sdk;INDEFINIDO;eShop;aspnetcore;AspNetCore.Docs;arcade;INDEFINIDO
1.0710032055154068;0.47167444500868994;0.838342148832082;EntityFramework.Docs;arcade;maintenance-packages;installer;tye;runtime;orleans;maui;fsharp;project-system;interactive;dotnet-api-docs;aspire;csharplang;INDEFINIDO;sdk;msbuild;docfx;INDEFINIDO;INDEFINIDO;docs;winforms;INDEFINIDO;roslyn;razor;install-scripts;AspNetCore.Docs;INDEFINIDO;core;INDEFINIDO;efcore;eShop;aspnetcore
1.0331280941717436;0.4355556237002562;0.8881343751480807;EntityFramework.Docs;docfx;orleans;install-scripts;msbuild;tye;dotnet-api-docs;project-system;core;csharplang;fsharp;INDEFINIDO;efcore;INDEFINIDO;INDEFINIDO;interactive;razor;sdk;maui;arcade;INDEFINIDO;eShop;AspNetCore.Docs;INDEFINIDO;INDEFINIDO;maintenance-packages;installer;winforms;docs;aspire;aspnetcore;runtime;roslyn
1.038776887055186;0.4756336287514431;0.8437887026753645;EntityFramework.Docs;runtime;arcade;installer;tye;aspire;orleans;project-system;interactive;maui;dotnet-api-docs;fsharp;maintenance-packages;INDEFINIDO;csharplang;sdk;docfx;msbuild;INDEFINIDO;winforms;docs;INDEFINIDO;INDEFINIDO;roslyn;razor;INDEFINIDO;AspNetCore.Docs;install-scripts;core;INDEFINIDO;efcore;eShop;aspnetcore
1.0745410807362115;0.47094792365943805;0.8385575148089077;EntityFramework.Docs;arcade;maintenance-packages;installer;tye;runtime;orleans;maui;fsharp;project-system;interactive;dotnet-api-docs;aspire;INDEFINIDO;csharplang;sdk;msbuild;docfx;INDEFINIDO;INDEFINIDO;docs;winforms;INDEFINIDO;AspNetCore.Docs;install-scripts;razor;roslyn;INDEFINIDO;core;INDEFINIDO;efcore;eShop;aspnetcore
1.0558606724563881;0.45686760357924866;0.8411113492494445;core;efcore;arcade;tye;INDEFINIDO;maintenance-packages;orleans;project-system;maui;fsharp;interactive;dotnet-api-docs;aspire;INDEFINIDO;csharplang;docfx;msbuild;sdk;INDEFINIDO;INDEFINIDO;docs;AspNetCore.Docs;install-scripts;roslyn;razor;INDEFINIDO;runtime;INDEFINIDO;installer;EntityFramework.Docs;eShop;winforms;aspnetcore
1.0649168787387049;0.47123764137629914;0.8393359059523174;EntityFramework.Docs;maintenance-packages;arcade;maui;orleans;runtime;tye;installer;fsharp;project-system;interactive;dotnet-api-docs;aspire;INDEFINIDO;csharplang;docfx;msbuild;sdk;INDEFINIDO;INDEFINIDO;docs;winforms;INDEFINIDO;roslyn;razor;INDEFINIDO;AspNetCore.Docs;install-scripts;core;INDEFINIDO;eShop;efcore;aspnetcore
1.0736515807368416;0.47078405336986245;0.83869482787461;EntityFramework.Docs;arcade;maintenance-packages;installer;tye;runtime;orleans;maui;fsharp;project-system;interactive;dotnet-api-docs;aspire;INDEFINIDO;INDEFINIDO;msbuild;csharplang;docfx;sdk;INDEFINIDO;docs;winforms;INDEFINIDO;AspNetCore.Docs;install-scripts;razor;roslyn;INDEFINIDO;core;INDEFINIDO;efcore;eShop;aspnetcore
1.0436920864871837;0.47465415011580725;0.840858901447845;EntityFramework.Docs;runtime;arcade;installer;tye;aspire;orleans;project-system;interactive;maui;fsharp;dotnet-api-docs;maintenance-packages;INDEFINIDO;INDEFINIDO;sdk;msbuild;docfx;csharplang;INDEFINIDO;docs;winforms;INDEFINIDO;AspNetCore.Docs;install-scripts;razor;roslyn;core;INDEFINIDO;INDEFINIDO;efcore;eShop;aspnetcore
1.0335764073010656;0.4489879365060603;0.8460977092636596;core;efcore;EntityFramework.Docs;tye;INDEFINIDO;arcade;orleans;project-system;fsharp;maui;interactive;dotnet-api-docs;aspire;INDEFINIDO;msbuild;docfx;csharplang;sdk;INDEFINIDO;INDEFINIDO;docs;AspNetCore.Docs;installer;runtime;install-scripts;razor;roslyn;INDEFINIDO;eShop;INDEFINIDO;maintenance-packages;winforms;aspnetcore
1.0529730257629741;0.4574488408616551;0.8395123217550708;core;efcore;maintenance-packages;INDEFINIDO;tye;arcade;orleans;project-system;maui;fsharp;interactive;dotnet-api-docs;aspire;csharplang;INDEFINIDO;docfx;msbuild;sdk;INDEFINIDO;INDEFINIDO;docs;AspNetCore.Docs;razor;roslyn;install-scripts;INDEFINIDO;runtime;INDEFINIDO;installer;EntityFramework.Docs;eShop;winforms;aspnetcore
1.020549638212806;0.4589519713709285;0.8724923912927708;INDEFINIDO;eShop;install-scripts;installer;fsharp;interactive;dotnet-api-docs;winforms;tye;maintenance-packages;msbuild;docfx;aspire;csharplang;EntityFramework.Docs;razor;INDEFINIDO;project-system;INDEFINIDO;maui;docs;efcore;core;roslyn;orleans;runtime;sdk;INDEFINIDO;INDEFINIDO;aspnetcore;INDEFINIDO;arcade;AspNetCore.Docs
1.0233819605134427;0.46737957053211154;0.8615764377856832;INDEFINIDO;interactive;fsharp;installer;dotnet-api-docs;eShop;docfx;winforms;core;runtime;sdk;tye;aspnetcore;csharplang;INDEFINIDO;install-scripts;msbuild;INDEFINIDO;maui;docs;AspNetCore.Docs;INDEFINIDO;INDEFINIDO;roslyn;razor;maintenance-packages;arcade;efcore;orleans;INDEFINIDO;aspire;EntityFramework.Docs;project-system
1.0449228408918854;0.4580021966275736;0.8420174373456986;core;maintenance-packages;efcore;tye;INDEFINIDO;arcade;orleans;project-system;maui;fsharp;interactive;dotnet-api-docs;docs;INDEFINIDO;INDEFINIDO;sdk;csharplang;docfx;msbuild;INDEFINIDO;aspire;AspNetCore.Docs;eShop;runtime;INDEFINIDO;install-scripts;roslyn;razor;EntityFramework.Docs;winforms;INDEFINIDO;installer;aspnetcore
1.067622552953288;0.47106442454030634;0.8390646510812936;EntityFramework.Docs;maintenance-packages;arcade;installer;tye;runtime;orleans;maui;fsharp;project-system;interactive;dotnet-api-docs;aspire;INDEFINIDO;sdk;docfx;csharplang;msbuild;INDEFINIDO;INDEFINIDO;docs;winforms;INDEFINIDO;AspNetCore.Docs;install-scripts;razor;roslyn;INDEFINIDO;core;INDEFINIDO;efcore;eShop;aspnetcore
1.022055632628115;0.44056171835857066;0.8916575814865405;orleans;docfx;EntityFramework.Docs;install-scripts;msbuild;tye;project-system;maui;dotnet-api-docs;INDEFINIDO;core;eShop;AspNetCore.Docs;csharplang;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;efcore;installer;maintenance-packages;INDEFINIDO;aspnetcore;arcade;winforms;runtime;fsharp;INDEFINIDO;interactive;aspire;docs;razor;roslyn
1.0378766946809324;0.4383586916770628;0.8671097608780051;docfx;dotnet-api-docs;tye;EntityFramework.Docs;project-system;msbuild;install-scripts;orleans;core;csharplang;fsharp;INDEFINIDO;efcore;INDEFINIDO;razor;interactive;INDEFINIDO;sdk;winforms;INDEFINIDO;maintenance-packages;installer;INDEFINIDO;AspNetCore.Docs;INDEFINIDO;arcade;runtime;aspire;eShop;aspnetcore;maui;docs;roslyn
1.0154253747844957;0.4729558789278056;0.899652627371141;installer;INDEFINIDO;install-scripts;INDEFINIDO;interactive;dotnet-api-docs;fsharp;roslyn;tye;maintenance-packages;orleans;project-system;aspire;csharplang;EntityFramework.Docs;docfx;INDEFINIDO;winforms;efcore;INDEFINIDO;razor;core;maui;docs;msbuild;runtime;sdk;INDEFINIDO;eShop;aspnetcore;AspNetCore.Docs;arcade;INDEFINIDO
1.0342021918553435;0.44798971826203177;0.849301088308088;project-system;efcore;core;tye;dotnet-api-docs;msbuild;docfx;sdk;INDEFINIDO;aspire;csharplang;orleans;arcade;EntityFramework.Docs;INDEFINIDO;fsharp;maui;interactive;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;docs;installer;runtime;install-scripts;INDEFINIDO;roslyn;razor;eShop;INDEFINIDO;winforms;aspnetcore;maintenance-packages
1.0465864010499533;0.4557435329800792;0.8430900437645878;EntityFramework.Docs;INDEFINIDO;maintenance-packages;tye;core;arcade;orleans;project-system;interactive;INDEFINIDO;INDEFINIDO;fsharp;docs;msbuild;INDEFINIDO;sdk;csharplang;dotnet-api-docs;maui;docfx;aspire;AspNetCore.Docs;efcore;runtime;install-scripts;razor;roslyn;winforms;INDEFINIDO;eShop;installer;INDEFINIDO;aspnetcore
1.0480576079952504;0.4569492709419893;0.8404242312390645;tye;efcore;maintenance-packages;INDEFINIDO;core;arcade;orleans;project-system;maui;fsharp;interactive;dotnet-api-docs;aspire;INDEFINIDO;msbuild;docfx;csharplang;sdk;INDEFINIDO;INDEFINIDO;docs;AspNetCore.Docs;razor;runtime;INDEFINIDO;install-scripts;roslyn;INDEFINIDO;installer;EntityFramework.Docs;eShop;winforms;aspnetcore
