F_SATISFACAO;F_ATIVIDADE;F_COMUNICACAO;Dev_10;Dev_19;Dev_21;Dev_26;Dev_30;Dev_32;Dev_34;Dev_46;Dev_51;Dev_79;Dev_88;Dev_89;Dev_98;Dev_107;Dev_121;Dev_131;Dev_156;Dev_166;Dev_171;Dev_227;Dev_232;Dev_275;Dev_276;Dev_280;Dev_292;Dev_310;Dev_322;Dev_329;Dev_343;Dev_346;Dev_430;Dev_459;Dev_488
1.0153627686297806;0.47297578766299747;0.8806172686036969;sdk;arcade;EntityFramework.Docs;aspnetcore;msbuild;tye;orleans;maintenance-packages;eShop;roslyn;fsharp;INDEFINIDO;core;INDEFINIDO;razor;docfx;INDEFINIDO;interactive;maui;AspNetCore.Docs;INDEFINIDO;INDEFINIDO;csharplang;docs;install-scripts;runtime;aspire;INDEFINIDO;dotnet-api-docs;efcore;installer;project-system;winforms
1.0145478957322334;0.4531335448609874;0.892794235420713;INDEFINIDO;sdk;orleans;maui;install-scripts;tye;msbuild;INDEFINIDO;docfx;efcore;core;project-system;winforms;INDEFINIDO;eShop;EntityFramework.Docs;aspnetcore;installer;maintenance-packages;csharplang;INDEFINIDO;INDEFINIDO;INDEFINIDO;docs;razor;runtime;arcade;fsharp;dotnet-api-docs;roslyn;aspire;interactive;AspNetCore.Docs
1.0523438541676262;0.4564619712882476;0.8387089614486868;dotnet-api-docs;efcore;docs;docfx;msbuild;arcade;install-scripts;core;interactive;eShop;INDEFINIDO;fsharp;AspNetCore.Docs;csharplang;INDEFINIDO;tye;INDEFINIDO;razor;project-system;installer;winforms;aspnetcore;INDEFINIDO;roslyn;orleans;EntityFramework.Docs;runtime;INDEFINIDO;maui;sdk;aspire;INDEFINIDO;maintenance-packages
1.0157401004082196;0.4479040847903804;0.9089840386957325;dotnet-api-docs;interactive;docfx;INDEFINIDO;install-scripts;tye;core;efcore;orleans;maui;msbuild;project-system;EntityFramework.Docs;INDEFINIDO;winforms;eShop;aspnetcore;installer;maintenance-packages;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;docs;razor;runtime;csharplang;INDEFINIDO;fsharp;roslyn;AspNetCore.Docs;arcade;aspire
1.0419180182512582;0.46269987377337646;0.8367183755924653;EntityFramework.Docs;docs;aspire;INDEFINIDO;docfx;arcade;install-scripts;eShop;interactive;INDEFINIDO;fsharp;sdk;maintenance-packages;csharplang;msbuild;orleans;project-system;tye;razor;core;AspNetCore.Docs;aspnetcore;installer;runtime;dotnet-api-docs;INDEFINIDO;roslyn;INDEFINIDO;maui;INDEFINIDO;INDEFINIDO;winforms;efcore
1.035759235451706;0.4353919476422931;0.8896512390940066;EntityFramework.Docs;docfx;orleans;dotnet-api-docs;project-system;tye;install-scripts;core;msbuild;fsharp;csharplang;INDEFINIDO;INDEFINIDO;efcore;razor;maui;INDEFINIDO;INDEFINIDO;INDEFINIDO;INDEFINIDO;eShop;interactive;winforms;installer;arcade;sdk;docs;AspNetCore.Docs;aspire;maintenance-packages;aspnetcore;runtime;roslyn
1.051790317446968;0.4565181060440185;0.8385240450765151;dotnet-api-docs;efcore;docs;docfx;msbuild;arcade;install-scripts;core;interactive;eShop;INDEFINIDO;fsharp;AspNetCore.Docs;csharplang;INDEFINIDO;tye;INDEFINIDO;razor;project-system;installer;aspnetcore;winforms;INDEFINIDO;roslyn;orleans;EntityFramework.Docs;runtime;INDEFINIDO;maui;sdk;aspire;INDEFINIDO;maintenance-packages
1.0191894342747143;0.46531731819028027;0.865079351882216;INDEFINIDO;INDEFINIDO;tye;INDEFINIDO;docfx;eShop;install-scripts;docs;interactive;maintenance-packages;sdk;msbuild;winforms;razor;EntityFramework.Docs;dotnet-api-docs;aspire;orleans;project-system;aspnetcore;INDEFINIDO;csharplang;installer;roslyn;INDEFINIDO;runtime;AspNetCore.Docs;INDEFINIDO;fsharp;maui;efcore;core;arcade
1.026126004482069;0.46734562041688515;0.8484708688612673;interactive;INDEFINIDO;winforms;docs;INDEFINIDO;eShop;orleans;installer;EntityFramework.Docs;INDEFINIDO;msbuild;dotnet-api-docs;maintenance-packages;INDEFINIDO;fsharp;install-scripts;maui;sdk;project-system;csharplang;aspire;arcade;INDEFINIDO;runtime;tye;aspnetcore;AspNetCore.Docs;razor;docfx;core;efcore;INDEFINIDO;roslyn
1.0443493756938007;0.45947908233459595;0.8396083943128101;EntityFramework.Docs;maintenance-packages;eShop;project-system;core;AspNetCore.Docs;tye;installer;razor;arcade;dotnet-api-docs;docfx;efcore;INDEFINIDO;INDEFINIDO;install-scripts;INDEFINIDO;sdk;csharplang;aspire;aspnetcore;INDEFINIDO;winforms;roslyn;INDEFINIDO;msbuild;runtime;maui;fsharp;orleans;INDEFINIDO;interactive;docs
1.0154490298882481;0.44823071381054447;0.9060538581049302;docfx;interactive;dotnet-api-docs;INDEFINIDO;install-scripts;tye;core;efcore;orleans;maui;msbuild;project-system;winforms;INDEFINIDO;EntityFramework.Docs;eShop;aspnetcore;installer;maintenance-packages;INDEFINIDO;INDEFINIDO;sdk;INDEFINIDO;docs;razor;runtime;csharplang;INDEFINIDO;fsharp;roslyn;arcade;AspNetCore.Docs;aspire
1.0149303426517635;0.4521561944672422;0.9050039621155324;dotnet-api-docs;interactive;orleans;maui;msbuild;tye;core;aspnetcore;docfx;INDEFINIDO;install-scripts;project-system;winforms;INDEFINIDO;EntityFramework.Docs;eShop;efcore;installer;maintenance-packages;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;docs;razor;runtime;csharplang;INDEFINIDO;fsharp;roslyn;aspire;arcade;AspNetCore.Docs
1.01548654156244;0.4481797771998039;0.9080926851092882;dotnet-api-docs;interactive;docfx;INDEFINIDO;install-scripts;tye;core;efcore;orleans;maui;msbuild;EntityFramework.Docs;INDEFINIDO;winforms;project-system;eShop;maintenance-packages;installer;aspnetcore;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;docs;razor;runtime;csharplang;INDEFINIDO;fsharp;roslyn;arcade;AspNetCore.Docs;aspire
1.0153740352072806;0.4718242445485266;0.8878619489028393;project-system;sdk;EntityFramework.Docs;aspnetcore;msbuild;tye;orleans;roslyn;fsharp;maintenance-packages;eShop;INDEFINIDO;core;INDEFINIDO;docfx;razor;maui;interactive;INDEFINIDO;AspNetCore.Docs;INDEFINIDO;INDEFINIDO;csharplang;docs;install-scripts;runtime;aspire;INDEFINIDO;dotnet-api-docs;efcore;arcade;installer;winforms
1.015783080075298;0.4480643171844801;0.8986191337109688;docfx;interactive;dotnet-api-docs;INDEFINIDO;install-scripts;tye;msbuild;maui;orleans;efcore;core;EntityFramework.Docs;winforms;INDEFINIDO;project-system;eShop;aspnetcore;installer;maintenance-packages;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;docs;razor;runtime;csharplang;INDEFINIDO;fsharp;roslyn;arcade;aspire;AspNetCore.Docs
1.0429885499197382;0.4386271238011139;0.8577858117928308;EntityFramework.Docs;dotnet-api-docs;project-system;orleans;fsharp;csharplang;install-scripts;msbuild;tye;INDEFINIDO;docfx;maui;efcore;core;eShop;interactive;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;installer;maintenance-packages;aspire;AspNetCore.Docs;razor;winforms;runtime;INDEFINIDO;arcade;INDEFINIDO;docs;aspnetcore;roslyn
1.0161307710929393;0.4476983221836711;0.9035023674266021;docfx;interactive;dotnet-api-docs;INDEFINIDO;install-scripts;tye;msbuild;maui;orleans;efcore;core;project-system;EntityFramework.Docs;INDEFINIDO;winforms;eShop;aspnetcore;installer;maintenance-packages;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;docs;razor;runtime;INDEFINIDO;csharplang;fsharp;roslyn;AspNetCore.Docs;aspire;arcade
1.0155284519420005;0.4482781813628388;0.9007448653556506;docfx;interactive;dotnet-api-docs;INDEFINIDO;install-scripts;tye;msbuild;maui;orleans;efcore;core;project-system;winforms;INDEFINIDO;EntityFramework.Docs;eShop;aspnetcore;installer;maintenance-packages;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;docs;razor;runtime;csharplang;INDEFINIDO;fsharp;roslyn;AspNetCore.Docs;aspire;arcade
1.0439702141699596;0.43666371000889453;0.8692717568715193;EntityFramework.Docs;docfx;msbuild;orleans;tye;dotnet-api-docs;install-scripts;project-system;core;efcore;csharplang;fsharp;INDEFINIDO;INDEFINIDO;INDEFINIDO;sdk;maui;interactive;INDEFINIDO;INDEFINIDO;INDEFINIDO;installer;arcade;maintenance-packages;AspNetCore.Docs;razor;runtime;docs;aspire;eShop;winforms;aspnetcore;roslyn
1.0491789831790035;0.4614007366501108;0.8385914660129984;msbuild;docs;efcore;INDEFINIDO;sdk;arcade;install-scripts;INDEFINIDO;dotnet-api-docs;INDEFINIDO;interactive;docfx;maintenance-packages;razor;fsharp;EntityFramework.Docs;project-system;tye;winforms;eShop;aspire;roslyn;csharplang;AspNetCore.Docs;INDEFINIDO;orleans;runtime;INDEFINIDO;core;maui;INDEFINIDO;installer;aspnetcore
1.0444160006782326;0.4567454543851699;0.8387263698626013;dotnet-api-docs;efcore;maintenance-packages;docfx;msbuild;arcade;install-scripts;core;interactive;eShop;INDEFINIDO;fsharp;aspnetcore;razor;INDEFINIDO;tye;installer;project-system;INDEFINIDO;csharplang;AspNetCore.Docs;winforms;aspire;runtime;EntityFramework.Docs;orleans;roslyn;INDEFINIDO;sdk;maui;INDEFINIDO;INDEFINIDO;docs
1.0321529146718509;0.4604544462821584;0.8437657175059375;msbuild;docs;INDEFINIDO;efcore;sdk;arcade;install-scripts;INDEFINIDO;dotnet-api-docs;INDEFINIDO;docfx;fsharp;eShop;project-system;EntityFramework.Docs;tye;winforms;razor;interactive;maintenance-packages;aspire;roslyn;INDEFINIDO;runtime;orleans;INDEFINIDO;AspNetCore.Docs;csharplang;core;maui;INDEFINIDO;installer;aspnetcore
1.0487818454640059;0.4413747426886966;0.8495329764490845;EntityFramework.Docs;csharplang;efcore;msbuild;docfx;INDEFINIDO;install-scripts;project-system;tye;installer;INDEFINIDO;orleans;eShop;razor;core;dotnet-api-docs;INDEFINIDO;maui;fsharp;sdk;aspire;docs;maintenance-packages;AspNetCore.Docs;interactive;INDEFINIDO;runtime;INDEFINIDO;INDEFINIDO;arcade;aspnetcore;winforms;roslyn
1.0482072952418329;0.44121710019543137;0.8505701555392012;EntityFramework.Docs;msbuild;efcore;csharplang;docfx;INDEFINIDO;install-scripts;project-system;tye;installer;INDEFINIDO;orleans;eShop;razor;core;dotnet-api-docs;INDEFINIDO;maui;fsharp;sdk;aspire;docs;maintenance-packages;AspNetCore.Docs;interactive;INDEFINIDO;runtime;INDEFINIDO;INDEFINIDO;arcade;aspnetcore;winforms;roslyn
