F_SATISFACAO;F_ATIVIDADE;F_COMUNICACAO;Dev_10;Dev_19;Dev_21;Dev_26;Dev_30;Dev_32;Dev_34;Dev_46;Dev_51;Dev_79;Dev_88;Dev_89;Dev_98;Dev_107;Dev_121;Dev_131;Dev_156;Dev_166;Dev_171;Dev_227;Dev_232;Dev_275;Dev_276;Dev_280;Dev_292;Dev_310;Dev_322;Dev_329;Dev_343;Dev_346;Dev_430;Dev_459;Dev_488
1.0276487360822506;0.49023251841250026;0.8448003936573087;maui;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;INDEFINIDO;EntityFramework.Docs;docs;orleans;interactive;aspire;INDEFINIDO;razor;sdk;core;tye;INDEFINIDO;INDEFINIDO;aspnetcore;AspNetCore.Docs;csharplang;runtime;fsharp;maintenance-packages;arcade;installer;docfx;msbuild;project-system;winforms;efcore
1.0169954704839654;0.44094531222517414;0.905280824672899;install-scripts;dotnet-api-docs;orleans;docfx;fsharp;tye;project-system;INDEFINIDO;EntityFramework.Docs;csharplang;msbuild;INDEFINIDO;INDEFINIDO;efcore;core;razor;AspNetCore.Docs;INDEFINIDO;maui;aspire;sdk;interactive;INDEFINIDO;maintenance-packages;INDEFINIDO;runtime;installer;arcade;eShop;roslyn;aspnetcore;winforms;docs
1.0355196838477876;0.4352425069607978;0.8967735302414606;EntityFramework.Docs;install-scripts;docfx;orleans;msbuild;tye;dotnet-api-docs;project-system;core;csharplang;fsharp;efcore;INDEFINIDO;INDEFINIDO;razor;INDEFINIDO;maui;eShop;INDEFINIDO;sdk;INDEFINIDO;installer;interactive;INDEFINIDO;arcade;maintenance-packages;AspNetCore.Docs;aspire;aspnetcore;winforms;docs;runtime;roslyn
1.0572556988864352;0.45842822549460077;0.8374081192363765;project-system;INDEFINIDO;docs;core;maui;maintenance-packages;tye;EntityFramework.Docs;docfx;eShop;msbuild;orleans;aspire;fsharp;interactive;install-scripts;INDEFINIDO;razor;INDEFINIDO;efcore;AspNetCore.Docs;arcade;winforms;roslyn;INDEFINIDO;sdk;runtime;csharplang;INDEFINIDO;dotnet-api-docs;installer;INDEFINIDO;aspnetcore
1.0138904743531207;0.453605786463446;0.8876963623604638;project-system;core;docfx;maui;fsharp;tye;EntityFramework.Docs;efcore;razor;maintenance-packages;install-scripts;INDEFINIDO;arcade;INDEFINIDO;sdk;msbuild;roslyn;dotnet-api-docs;aspnetcore;INDEFINIDO;INDEFINIDO;installer;aspire;AspNetCore.Docs;interactive;runtime;eShop;csharplang;orleans;docs;INDEFINIDO;INDEFINIDO;winforms
1.0467761511125062;0.46810063210122393;0.8358435781626868;INDEFINIDO;aspnetcore;maintenance-packages;maui;core;docs;install-scripts;interactive;fsharp;aspire;EntityFramework.Docs;docfx;eShop;orleans;msbuild;tye;INDEFINIDO;razor;INDEFINIDO;csharplang;arcade;AspNetCore.Docs;efcore;runtime;sdk;INDEFINIDO;roslyn;INDEFINIDO;dotnet-api-docs;project-system;installer;INDEFINIDO;winforms
1.029213462042659;0.4821458983186224;0.8430961004521573;project-system;roslyn;arcade;maui;core;eShop;tye;docfx;EntityFramework.Docs;INDEFINIDO;msbuild;orleans;docs;sdk;INDEFINIDO;install-scripts;installer;dotnet-api-docs;INDEFINIDO;aspire;aspnetcore;INDEFINIDO;INDEFINIDO;runtime;interactive;efcore;AspNetCore.Docs;fsharp;razor;INDEFINIDO;maintenance-packages;csharplang;winforms
1.0406030985885135;0.4709450203731943;0.8365159490070796;maui;AspNetCore.Docs;aspnetcore;INDEFINIDO;razor;winforms;install-scripts;INDEFINIDO;docfx;aspire;EntityFramework.Docs;orleans;docs;INDEFINIDO;msbuild;tye;eShop;fsharp;interactive;csharplang;maintenance-packages;arcade;INDEFINIDO;runtime;core;installer;roslyn;project-system;dotnet-api-docs;sdk;INDEFINIDO;INDEFINIDO;efcore
1.0516996812766561;0.4579088672906235;0.8374571636578614;project-system;INDEFINIDO;docs;core;maui;maintenance-packages;tye;EntityFramework.Docs;docfx;eShop;msbuild;orleans;aspire;fsharp;INDEFINIDO;razor;INDEFINIDO;install-scripts;interactive;csharplang;arcade;AspNetCore.Docs;efcore;runtime;sdk;INDEFINIDO;roslyn;winforms;INDEFINIDO;dotnet-api-docs;installer;INDEFINIDO;aspnetcore
1.0470916296810697;0.4666896990975458;0.8364516147165826;INDEFINIDO;aspnetcore;maintenance-packages;maui;core;docs;tye;msbuild;orleans;eShop;docfx;EntityFramework.Docs;aspire;fsharp;interactive;install-scripts;INDEFINIDO;razor;INDEFINIDO;csharplang;arcade;AspNetCore.Docs;efcore;runtime;sdk;INDEFINIDO;roslyn;INDEFINIDO;dotnet-api-docs;project-system;installer;INDEFINIDO;winforms
1.029839721543702;0.48589594515368517;0.8413066520624923;docfx;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;INDEFINIDO;interactive;aspire;orleans;EntityFramework.Docs;docs;sdk;core;razor;INDEFINIDO;tye;INDEFINIDO;csharplang;AspNetCore.Docs;aspnetcore;INDEFINIDO;runtime;fsharp;efcore;arcade;installer;project-system;msbuild;maui;winforms;maintenance-packages
1.0289253371306546;0.48902075165451014;0.8417191383394838;maui;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;INDEFINIDO;interactive;aspire;EntityFramework.Docs;orleans;docs;csharplang;razor;tye;core;sdk;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;aspnetcore;INDEFINIDO;runtime;fsharp;efcore;arcade;docfx;msbuild;project-system;winforms;installer;maintenance-packages
1.0139895328336352;0.46460667798419486;0.8854589207994275;INDEFINIDO;core;docfx;maui;razor;tye;EntityFramework.Docs;aspnetcore;dotnet-api-docs;roslyn;msbuild;INDEFINIDO;arcade;INDEFINIDO;sdk;install-scripts;maintenance-packages;fsharp;efcore;INDEFINIDO;INDEFINIDO;installer;aspire;AspNetCore.Docs;interactive;runtime;eShop;csharplang;orleans;docs;winforms;INDEFINIDO;project-system
1.0297544064025579;0.4856921645120817;0.8430688197612644;docfx;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;INDEFINIDO;interactive;aspire;orleans;EntityFramework.Docs;docs;sdk;core;razor;INDEFINIDO;tye;INDEFINIDO;csharplang;AspNetCore.Docs;efcore;fsharp;runtime;INDEFINIDO;aspnetcore;arcade;installer;project-system;msbuild;maui;winforms;maintenance-packages
1.0299876859191097;0.48381113352720473;0.8416717820698029;docfx;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;core;razor;docs;EntityFramework.Docs;orleans;aspire;sdk;INDEFINIDO;interactive;INDEFINIDO;tye;INDEFINIDO;csharplang;AspNetCore.Docs;aspnetcore;INDEFINIDO;runtime;fsharp;efcore;arcade;installer;project-system;msbuild;maui;winforms;maintenance-packages
1.046855583018349;0.4680253405197281;0.8358491236279625;INDEFINIDO;aspnetcore;maintenance-packages;maui;core;docs;install-scripts;fsharp;interactive;aspire;EntityFramework.Docs;docfx;eShop;orleans;msbuild;tye;INDEFINIDO;razor;INDEFINIDO;csharplang;arcade;AspNetCore.Docs;efcore;runtime;sdk;INDEFINIDO;roslyn;INDEFINIDO;dotnet-api-docs;project-system;installer;INDEFINIDO;winforms
1.0143981611220774;0.4533978307580177;0.9034519872048791;INDEFINIDO;core;tye;efcore;razor;install-scripts;msbuild;INDEFINIDO;dotnet-api-docs;maui;EntityFramework.Docs;INDEFINIDO;INDEFINIDO;INDEFINIDO;sdk;docfx;aspnetcore;fsharp;maintenance-packages;aspire;INDEFINIDO;interactive;AspNetCore.Docs;csharplang;orleans;runtime;project-system;installer;eShop;roslyn;docs;arcade;winforms
1.0303924008835994;0.48380871530568326;0.8413054812985061;docfx;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;core;razor;docs;EntityFramework.Docs;orleans;aspire;interactive;INDEFINIDO;sdk;INDEFINIDO;tye;INDEFINIDO;csharplang;AspNetCore.Docs;aspnetcore;INDEFINIDO;runtime;fsharp;efcore;arcade;installer;project-system;msbuild;maui;winforms;maintenance-packages
1.0453541350166766;0.45043547066655976;0.8427574544715141;dotnet-api-docs;efcore;INDEFINIDO;docfx;fsharp;arcade;install-scripts;maui;razor;installer;project-system;EntityFramework.Docs;aspnetcore;tye;core;msbuild;INDEFINIDO;orleans;INDEFINIDO;INDEFINIDO;aspire;roslyn;csharplang;AspNetCore.Docs;INDEFINIDO;sdk;runtime;INDEFINIDO;eShop;interactive;maintenance-packages;winforms;docs
1.0461860789925117;0.459239757387045;0.8386580316898026;project-system;INDEFINIDO;docs;maui;core;maintenance-packages;tye;msbuild;fsharp;aspire;EntityFramework.Docs;orleans;eShop;docfx;interactive;install-scripts;INDEFINIDO;razor;INDEFINIDO;efcore;AspNetCore.Docs;arcade;winforms;runtime;csharplang;INDEFINIDO;roslyn;sdk;dotnet-api-docs;INDEFINIDO;INDEFINIDO;installer;aspnetcore
1.0502335964145035;0.45814593634551676;0.8378576714578777;project-system;INDEFINIDO;docs;core;maui;maintenance-packages;tye;msbuild;orleans;eShop;docfx;EntityFramework.Docs;aspire;fsharp;interactive;install-scripts;INDEFINIDO;razor;INDEFINIDO;csharplang;arcade;AspNetCore.Docs;efcore;runtime;sdk;INDEFINIDO;roslyn;winforms;INDEFINIDO;dotnet-api-docs;installer;INDEFINIDO;aspnetcore
1.049255299502172;0.44114985734930456;0.8498003715238217;EntityFramework.Docs;msbuild;fsharp;csharplang;docfx;efcore;install-scripts;core;project-system;INDEFINIDO;INDEFINIDO;orleans;winforms;razor;INDEFINIDO;tye;INDEFINIDO;dotnet-api-docs;maui;eShop;AspNetCore.Docs;docs;INDEFINIDO;arcade;installer;sdk;runtime;aspnetcore;INDEFINIDO;interactive;aspire;maintenance-packages;roslyn
1.0435396278634061;0.4394581528666097;0.8545374752778283;EntityFramework.Docs;msbuild;fsharp;install-scripts;docfx;csharplang;orleans;core;project-system;INDEFINIDO;dotnet-api-docs;maui;eShop;INDEFINIDO;INDEFINIDO;tye;winforms;razor;INDEFINIDO;INDEFINIDO;docs;maintenance-packages;efcore;AspNetCore.Docs;sdk;INDEFINIDO;runtime;arcade;installer;interactive;aspire;aspnetcore;roslyn
1.0430905259708074;0.4693692294320583;0.8363741050654789;maui;efcore;AspNetCore.Docs;winforms;razor;aspnetcore;install-scripts;INDEFINIDO;docfx;aspire;EntityFramework.Docs;orleans;docs;msbuild;eShop;tye;INDEFINIDO;fsharp;interactive;csharplang;maintenance-packages;arcade;INDEFINIDO;runtime;core;installer;roslyn;project-system;dotnet-api-docs;sdk;INDEFINIDO;INDEFINIDO;INDEFINIDO
1.0443100207502354;0.43924794924301663;0.8566904754190084;install-scripts;docfx;EntityFramework.Docs;msbuild;fsharp;csharplang;orleans;core;project-system;eShop;maui;dotnet-api-docs;INDEFINIDO;INDEFINIDO;INDEFINIDO;tye;winforms;razor;efcore;INDEFINIDO;AspNetCore.Docs;docs;INDEFINIDO;maintenance-packages;sdk;INDEFINIDO;runtime;arcade;installer;interactive;aspire;aspnetcore;roslyn
1.0279957091640548;0.48987460780430353;0.8446090418907692;maui;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;INDEFINIDO;EntityFramework.Docs;docs;orleans;interactive;aspire;INDEFINIDO;razor;sdk;core;tye;INDEFINIDO;csharplang;AspNetCore.Docs;aspnetcore;INDEFINIDO;runtime;fsharp;maintenance-packages;arcade;installer;docfx;msbuild;project-system;winforms;efcore
1.0418207657892702;0.4705892452463743;0.8359777505602098;maui;AspNetCore.Docs;aspnetcore;INDEFINIDO;razor;winforms;install-scripts;INDEFINIDO;EntityFramework.Docs;aspire;docfx;orleans;maintenance-packages;interactive;csharplang;fsharp;eShop;tye;msbuild;INDEFINIDO;docs;arcade;INDEFINIDO;runtime;core;installer;roslyn;project-system;dotnet-api-docs;sdk;INDEFINIDO;INDEFINIDO;efcore
1.0477568842663656;0.4595796869846182;0.8381510175119395;project-system;INDEFINIDO;docs;core;maui;maintenance-packages;install-scripts;interactive;fsharp;aspire;msbuild;orleans;eShop;docfx;EntityFramework.Docs;tye;INDEFINIDO;razor;efcore;INDEFINIDO;AspNetCore.Docs;arcade;csharplang;runtime;sdk;INDEFINIDO;roslyn;installer;dotnet-api-docs;INDEFINIDO;winforms;INDEFINIDO;aspnetcore
1.017774656382159;0.4398371172186497;0.9018475250828819;install-scripts;dotnet-api-docs;orleans;docfx;fsharp;tye;project-system;INDEFINIDO;EntityFramework.Docs;csharplang;msbuild;INDEFINIDO;INDEFINIDO;efcore;core;razor;AspNetCore.Docs;INDEFINIDO;maui;aspire;sdk;interactive;INDEFINIDO;maintenance-packages;INDEFINIDO;runtime;installer;arcade;eShop;aspnetcore;roslyn;winforms;docs
1.0514403253426114;0.45801665495814947;0.8375474643667884;project-system;INDEFINIDO;docs;core;maui;maintenance-packages;tye;EntityFramework.Docs;docfx;eShop;msbuild;orleans;aspire;fsharp;INDEFINIDO;razor;INDEFINIDO;install-scripts;interactive;efcore;AspNetCore.Docs;arcade;csharplang;runtime;sdk;INDEFINIDO;roslyn;winforms;INDEFINIDO;dotnet-api-docs;installer;INDEFINIDO;aspnetcore
1.047346930740687;0.4401483034435321;0.8542618952368483;EntityFramework.Docs;msbuild;fsharp;install-scripts;docfx;csharplang;orleans;core;INDEFINIDO;eShop;maui;dotnet-api-docs;INDEFINIDO;project-system;INDEFINIDO;tye;winforms;razor;INDEFINIDO;INDEFINIDO;docs;maintenance-packages;efcore;AspNetCore.Docs;INDEFINIDO;sdk;runtime;arcade;installer;interactive;aspnetcore;aspire;roslyn
1.0360559509647007;0.4635281689023321;0.8377850071418372;maui;efcore;AspNetCore.Docs;INDEFINIDO;razor;winforms;install-scripts;INDEFINIDO;orleans;maintenance-packages;docfx;EntityFramework.Docs;aspire;csharplang;eShop;tye;msbuild;fsharp;interactive;INDEFINIDO;docs;arcade;INDEFINIDO;runtime;core;installer;roslyn;project-system;dotnet-api-docs;INDEFINIDO;sdk;INDEFINIDO;aspnetcore
1.0257108712697727;0.43636106438590927;0.8957238449210397;EntityFramework.Docs;orleans;docfx;install-scripts;dotnet-api-docs;tye;msbuild;project-system;fsharp;csharplang;core;INDEFINIDO;eShop;maui;INDEFINIDO;razor;efcore;INDEFINIDO;INDEFINIDO;sdk;INDEFINIDO;arcade;INDEFINIDO;installer;interactive;docs;winforms;AspNetCore.Docs;aspire;runtime;maintenance-packages;aspnetcore;roslyn
1.0404641778172603;0.4707820684857896;0.8367587717749579;maui;AspNetCore.Docs;aspnetcore;INDEFINIDO;razor;winforms;install-scripts;INDEFINIDO;docfx;aspire;EntityFramework.Docs;orleans;docs;INDEFINIDO;msbuild;tye;eShop;fsharp;csharplang;interactive;maintenance-packages;arcade;INDEFINIDO;runtime;core;installer;roslyn;project-system;dotnet-api-docs;sdk;INDEFINIDO;INDEFINIDO;efcore
1.0298469373551913;0.4891399111464718;0.8410143062619048;maui;roslyn;INDEFINIDO;INDEFINIDO;dotnet-api-docs;eShop;install-scripts;INDEFINIDO;interactive;aspire;EntityFramework.Docs;orleans;docs;razor;csharplang;tye;INDEFINIDO;sdk;core;INDEFINIDO;AspNetCore.Docs;aspnetcore;INDEFINIDO;runtime;fsharp;efcore;arcade;docfx;msbuild;project-system;winforms;installer;maintenance-packages
1.0450055721533973;0.44021817850172446;0.8534534338080848;EntityFramework.Docs;fsharp;csharplang;core;project-system;msbuild;install-scripts;orleans;docfx;eShop;maui;dotnet-api-docs;INDEFINIDO;INDEFINIDO;INDEFINIDO;tye;winforms;razor;INDEFINIDO;efcore;AspNetCore.Docs;docs;INDEFINIDO;maintenance-packages;INDEFINIDO;sdk;runtime;arcade;installer;interactive;aspire;aspnetcore;roslyn
1.0464991320037427;0.45850868243325815;0.8384628787171436;project-system;INDEFINIDO;docs;maui;core;maintenance-packages;tye;msbuild;docfx;eShop;orleans;EntityFramework.Docs;aspire;fsharp;interactive;install-scripts;INDEFINIDO;razor;INDEFINIDO;efcore;AspNetCore.Docs;arcade;winforms;runtime;csharplang;INDEFINIDO;roslyn;sdk;dotnet-api-docs;INDEFINIDO;INDEFINIDO;installer;aspnetcore
1.050888872853802;0.4582173135558845;0.8374974575242506;project-system;INDEFINIDO;docs;core;maui;maintenance-packages;tye;msbuild;orleans;eShop;docfx;EntityFramework.Docs;aspire;fsharp;INDEFINIDO;install-scripts;INDEFINIDO;razor;interactive;csharplang;AspNetCore.Docs;arcade;efcore;runtime;sdk;INDEFINIDO;roslyn;winforms;INDEFINIDO;dotnet-api-docs;installer;INDEFINIDO;aspnetcore
1.0175367207047479;0.46404669562881984;0.869405398460896;core;efcore;eShop;INDEFINIDO;dotnet-api-docs;fsharp;orleans;maui;install-scripts;roslyn;docfx;razor;AspNetCore.Docs;INDEFINIDO;INDEFINIDO;tye;maintenance-packages;sdk;aspnetcore;installer;csharplang;winforms;docs;aspire;project-system;runtime;INDEFINIDO;msbuild;EntityFramework.Docs;interactive;INDEFINIDO;INDEFINIDO;arcade
1.025046999374842;0.4361467932767462;0.9029466187089047;EntityFramework.Docs;install-scripts;orleans;docfx;dotnet-api-docs;tye;msbuild;project-system;fsharp;csharplang;core;INDEFINIDO;INDEFINIDO;efcore;razor;INDEFINIDO;maui;eShop;INDEFINIDO;INDEFINIDO;sdk;arcade;INDEFINIDO;installer;interactive;docs;winforms;AspNetCore.Docs;aspire;runtime;maintenance-packages;aspnetcore;roslyn
1.0252957351689078;0.4361372741163473;0.9009476838136068;EntityFramework.Docs;docfx;orleans;install-scripts;dotnet-api-docs;tye;msbuild;project-system;fsharp;csharplang;core;INDEFINIDO;INDEFINIDO;efcore;razor;INDEFINIDO;maui;eShop;INDEFINIDO;sdk;INDEFINIDO;arcade;INDEFINIDO;installer;interactive;docs;winforms;AspNetCore.Docs;aspire;runtime;maintenance-packages;aspnetcore;roslyn
1.0509726906780925;0.45838076361794444;0.8374770928642248;project-system;INDEFINIDO;docs;core;maui;maintenance-packages;tye;msbuild;orleans;eShop;docfx;EntityFramework.Docs;aspire;fsharp;INDEFINIDO;razor;INDEFINIDO;install-scripts;interactive;csharplang;AspNetCore.Docs;arcade;efcore;runtime;sdk;INDEFINIDO;roslyn;winforms;INDEFINIDO;dotnet-api-docs;installer;INDEFINIDO;aspnetcore
1.0154249559717434;0.44587890564665794;0.8914074598922793;project-system;core;tye;efcore;EntityFramework.Docs;install-scripts;dotnet-api-docs;maui;razor;INDEFINIDO;msbuild;INDEFINIDO;INDEFINIDO;INDEFINIDO;docfx;fsharp;aspnetcore;sdk;INDEFINIDO;AspNetCore.Docs;aspire;interactive;csharplang;maintenance-packages;orleans;runtime;arcade;installer;eShop;roslyn;docs;INDEFINIDO;winforms
1.0145244262185376;0.4503005397970145;0.8989622745020323;core;arcade;tye;INDEFINIDO;msbuild;install-scripts;EntityFramework.Docs;efcore;dotnet-api-docs;maui;razor;INDEFINIDO;INDEFINIDO;INDEFINIDO;sdk;docfx;aspnetcore;fsharp;maintenance-packages;AspNetCore.Docs;csharplang;interactive;aspire;INDEFINIDO;orleans;runtime;project-system;installer;eShop;roslyn;docs;INDEFINIDO;winforms
