F_SATISFACAO;F_ATIVIDADE;F_COMUNICACAO;Dev_10;Dev_19;Dev_21;Dev_26;Dev_30;Dev_32;Dev_34;Dev_46;Dev_51;Dev_79;Dev_88;Dev_89;Dev_98;Dev_107;Dev_121;Dev_131;Dev_156;Dev_166;Dev_171;Dev_227;Dev_232;Dev_275;Dev_276;Dev_280;Dev_292;Dev_310;Dev_322;Dev_329;Dev_343;Dev_346;Dev_430;Dev_459;Dev_488
1.0430743693471032;0.44738250570878635;0.8585810714727911;install-scripts;core;efcore;project-system;fsharp;tye;docfx;csharplang;msbuild;INDEFINIDO;INDEFINIDO;dotnet-api-docs;aspire;interactive;EntityFramework.Docs;orleans;INDEFINIDO;maui;docs;winforms;aspnetcore;runtime;INDEFINIDO;roslyn;installer;razor;maintenance-packages;eShop;arcade;INDEFINIDO;sdk;AspNetCore.Docs;INDEFINIDO
1.0237497768800603;0.4495844458158922;0.875908257078945;EntityFramework.Docs;razor;INDEFINIDO;interactive;project-system;orleans;install-scripts;aspnetcore;tye;csharplang;docfx;INDEFINIDO;arcade;efcore;sdk;core;maui;msbuild;INDEFINIDO;installer;INDEFINIDO;winforms;INDEFINIDO;AspNetCore.Docs;INDEFINIDO;runtime;aspire;docs;dotnet-api-docs;fsharp;maintenance-packages;eShop;roslyn
1.0333433349147116;0.45017198619818216;0.857959334577438;maui;tye;msbuild;project-system;interactive;INDEFINIDO;orleans;csharplang;docfx;fsharp;eShop;install-scripts;AspNetCore.Docs;winforms;razor;dotnet-api-docs;INDEFINIDO;INDEFINIDO;EntityFramework.Docs;aspire;aspnetcore;maintenance-packages;sdk;runtime;core;INDEFINIDO;docs;arcade;installer;INDEFINIDO;INDEFINIDO;efcore;roslyn
1.024850592026381;0.4507825378953603;0.8743503597639533;INDEFINIDO;core;orleans;project-system;fsharp;tye;dotnet-api-docs;INDEFINIDO;sdk;interactive;EntityFramework.Docs;docfx;docs;winforms;msbuild;razor;aspnetcore;INDEFINIDO;maintenance-packages;INDEFINIDO;csharplang;install-scripts;AspNetCore.Docs;runtime;INDEFINIDO;aspire;efcore;eShop;installer;INDEFINIDO;maui;arcade;roslyn
1.0205758896049688;0.45056145729652547;0.8829121777133764;razor;EntityFramework.Docs;INDEFINIDO;interactive;project-system;orleans;install-scripts;aspnetcore;tye;csharplang;docfx;INDEFINIDO;arcade;efcore;sdk;core;maui;msbuild;INDEFINIDO;installer;INDEFINIDO;winforms;INDEFINIDO;AspNetCore.Docs;INDEFINIDO;runtime;dotnet-api-docs;eShop;fsharp;docs;aspire;maintenance-packages;roslyn
1.022353808433001;0.47915835910257265;0.8717579593833854;core;eShop;fsharp;roslyn;EntityFramework.Docs;orleans;install-scripts;aspnetcore;tye;csharplang;docfx;INDEFINIDO;arcade;INDEFINIDO;INDEFINIDO;razor;winforms;dotnet-api-docs;maintenance-packages;interactive;AspNetCore.Docs;INDEFINIDO;aspire;runtime;sdk;docs;installer;INDEFINIDO;INDEFINIDO;efcore;maui;project-system;msbuild
1.0257299923607033;0.450766479864856;0.8727773109173748;INDEFINIDO;core;orleans;project-system;tye;fsharp;dotnet-api-docs;INDEFINIDO;sdk;interactive;EntityFramework.Docs;docfx;docs;winforms;msbuild;razor;aspnetcore;INDEFINIDO;maintenance-packages;INDEFINIDO;csharplang;install-scripts;AspNetCore.Docs;runtime;INDEFINIDO;aspire;efcore;eShop;installer;INDEFINIDO;maui;arcade;roslyn
1.0293729321022136;0.45257048361852376;0.8598124351116402;fsharp;csharplang;EntityFramework.Docs;install-scripts;INDEFINIDO;eShop;orleans;core;INDEFINIDO;docs;sdk;tye;arcade;docfx;dotnet-api-docs;razor;installer;project-system;INDEFINIDO;runtime;aspnetcore;winforms;maintenance-packages;roslyn;interactive;INDEFINIDO;AspNetCore.Docs;msbuild;INDEFINIDO;aspire;INDEFINIDO;maui;efcore
1.0269887611786137;0.45324722578586996;0.8605110513525299;INDEFINIDO;install-scripts;EntityFramework.Docs;efcore;csharplang;eShop;orleans;core;INDEFINIDO;docs;sdk;tye;arcade;docfx;dotnet-api-docs;razor;installer;project-system;INDEFINIDO;runtime;aspnetcore;winforms;maintenance-packages;roslyn;interactive;INDEFINIDO;AspNetCore.Docs;msbuild;fsharp;INDEFINIDO;INDEFINIDO;maui;aspire
1.044247995114466;0.44352932604336753;0.8613751225897078;EntityFramework.Docs;msbuild;dotnet-api-docs;razor;INDEFINIDO;fsharp;install-scripts;csharplang;maui;INDEFINIDO;INDEFINIDO;docfx;core;INDEFINIDO;interactive;tye;INDEFINIDO;orleans;efcore;project-system;AspNetCore.Docs;arcade;eShop;maintenance-packages;docs;aspire;runtime;installer;winforms;INDEFINIDO;sdk;aspnetcore;roslyn
1.0261274101230127;0.44769975682217605;0.8784458737803296;msbuild;core;orleans;INDEFINIDO;fsharp;INDEFINIDO;project-system;interactive;EntityFramework.Docs;csharplang;tye;docfx;winforms;sdk;INDEFINIDO;maui;INDEFINIDO;razor;efcore;dotnet-api-docs;AspNetCore.Docs;arcade;INDEFINIDO;maintenance-packages;INDEFINIDO;runtime;docs;installer;install-scripts;aspnetcore;roslyn;eShop;aspire
1.0268817939966262;0.44581560280047455;0.878992965894417;project-system;dotnet-api-docs;tye;efcore;docfx;installer;orleans;INDEFINIDO;install-scripts;arcade;INDEFINIDO;eShop;interactive;maui;msbuild;razor;EntityFramework.Docs;core;fsharp;INDEFINIDO;docs;aspire;maintenance-packages;AspNetCore.Docs;INDEFINIDO;runtime;aspnetcore;INDEFINIDO;sdk;INDEFINIDO;csharplang;roslyn;winforms
