F_SATISFACAO;F_ATIVIDADE;F_COMUNICACAO;Dev_10;Dev_19;Dev_21;Dev_26;Dev_30;Dev_32;Dev_34;Dev_46;Dev_51;Dev_79;Dev_88;Dev_89;Dev_98;Dev_107;Dev_121;Dev_131;Dev_156;Dev_166;Dev_171;Dev_227;Dev_232;Dev_275;Dev_276;Dev_280;Dev_292;Dev_310;Dev_322;Dev_329;Dev_343;Dev_346;Dev_430;Dev_459;Dev_488
1.0347675687308826;0.45645955803602406;0.8584515882183441;fsharp;efcore;INDEFINIDO;dotnet-api-docs;EntityFramework.Docs;arcade;orleans;interactive;msbuild;INDEFINIDO;tye;maui;runtime;aspnetcore;installer;INDEFINIDO;docfx;core;docs;INDEFINIDO;aspire;eShop;maintenance-packages;AspNetCore.Docs;sdk;INDEFINIDO;winforms;install-scripts;project-system;razor;INDEFINIDO;csharplang;roslyn
1.0290587441336678;0.45190842790130836;0.8629423593570557;INDEFINIDO;INDEFINIDO;core;maui;orleans;razor;tye;install-scripts;dotnet-api-docs;eShop;project-system;interactive;docs;aspire;efcore;fsharp;EntityFramework.Docs;csharplang;docfx;installer;AspNetCore.Docs;INDEFINIDO;aspnetcore;runtime;msbuild;maintenance-packages;winforms;sdk;arcade;INDEFINIDO;INDEFINIDO;INDEFINIDO;roslyn
1.036126705806129;0.46402735624868907;0.8531714505869703;msbuild;INDEFINIDO;arcade;INDEFINIDO;INDEFINIDO;aspnetcore;docfx;efcore;fsharp;docs;sdk;orleans;AspNetCore.Docs;INDEFINIDO;EntityFramework.Docs;dotnet-api-docs;eShop;razor;INDEFINIDO;maui;INDEFINIDO;csharplang;tye;runtime;project-system;core;aspire;install-scripts;interactive;maintenance-packages;installer;winforms;roslyn
1.03476877625823;0.45289036956896617;0.8583038854070663;msbuild;fsharp;docfx;efcore;INDEFINIDO;arcade;orleans;installer;tye;csharplang;EntityFramework.Docs;core;INDEFINIDO;aspire;winforms;sdk;INDEFINIDO;INDEFINIDO;razor;interactive;maintenance-packages;roslyn;INDEFINIDO;runtime;dotnet-api-docs;project-system;docs;maui;install-scripts;eShop;INDEFINIDO;aspnetcore;AspNetCore.Docs
1.0277831844627496;0.4519663333779564;0.8672895346286892;INDEFINIDO;INDEFINIDO;core;docfx;csharplang;EntityFramework.Docs;fsharp;efcore;aspire;docs;interactive;project-system;eShop;dotnet-api-docs;install-scripts;tye;razor;orleans;maui;installer;AspNetCore.Docs;INDEFINIDO;aspnetcore;runtime;msbuild;maintenance-packages;winforms;sdk;arcade;INDEFINIDO;INDEFINIDO;INDEFINIDO;roslyn
1.0322641926002785;0.4606168725824896;0.8610427755539257;efcore;arcade;docfx;docs;fsharp;csharplang;tye;installer;orleans;msbuild;EntityFramework.Docs;core;winforms;aspire;INDEFINIDO;sdk;INDEFINIDO;INDEFINIDO;razor;interactive;maintenance-packages;roslyn;INDEFINIDO;runtime;dotnet-api-docs;project-system;AspNetCore.Docs;install-scripts;eShop;INDEFINIDO;aspnetcore;INDEFINIDO;maui
1.0333296809830257;0.4400477067170711;0.8775251964835654;EntityFramework.Docs;install-scripts;project-system;docfx;INDEFINIDO;orleans;dotnet-api-docs;INDEFINIDO;tye;efcore;fsharp;interactive;eShop;arcade;msbuild;INDEFINIDO;maui;csharplang;installer;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;aspire;maintenance-packages;aspnetcore;razor;docs;INDEFINIDO;core;sdk;runtime;winforms;roslyn
1.0311795747656693;0.4580963277201201;0.8620201332763501;csharplang;INDEFINIDO;INDEFINIDO;aspnetcore;interactive;msbuild;install-scripts;efcore;dotnet-api-docs;core;docfx;INDEFINIDO;installer;INDEFINIDO;EntityFramework.Docs;razor;orleans;fsharp;maui;aspire;eShop;maintenance-packages;winforms;AspNetCore.Docs;arcade;docs;roslyn;project-system;tye;INDEFINIDO;INDEFINIDO;sdk;runtime
1.0312955308878036;0.4513848020161505;0.8650722096404184;INDEFINIDO;INDEFINIDO;core;dotnet-api-docs;install-scripts;tye;razor;orleans;maui;eShop;project-system;interactive;docs;aspire;efcore;fsharp;installer;docfx;csharplang;EntityFramework.Docs;AspNetCore.Docs;INDEFINIDO;aspnetcore;runtime;msbuild;maintenance-packages;winforms;sdk;arcade;INDEFINIDO;INDEFINIDO;INDEFINIDO;roslyn
1.0298990338306975;0.44081694927714277;0.8847465512293999;EntityFramework.Docs;install-scripts;project-system;docfx;INDEFINIDO;orleans;dotnet-api-docs;INDEFINIDO;tye;efcore;fsharp;interactive;eShop;arcade;msbuild;INDEFINIDO;maui;csharplang;installer;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;aspire;maintenance-packages;aspnetcore;razor;docs;INDEFINIDO;core;runtime;sdk;winforms;roslyn
1.0225058049034863;0.44593674722361787;0.9054985629261364;core;project-system;install-scripts;efcore;msbuild;dotnet-api-docs;docfx;INDEFINIDO;installer;INDEFINIDO;fsharp;aspire;maui;EntityFramework.Docs;razor;orleans;winforms;arcade;eShop;aspnetcore;sdk;csharplang;AspNetCore.Docs;INDEFINIDO;tye;maintenance-packages;INDEFINIDO;INDEFINIDO;interactive;runtime;docs;INDEFINIDO;roslyn
1.0275859383468235;0.4628385775740724;0.8645331895799935;winforms;fsharp;razor;aspnetcore;msbuild;tye;sdk;INDEFINIDO;install-scripts;INDEFINIDO;project-system;INDEFINIDO;core;EntityFramework.Docs;csharplang;orleans;INDEFINIDO;docfx;aspire;docs;arcade;maintenance-packages;INDEFINIDO;runtime;maui;efcore;AspNetCore.Docs;eShop;dotnet-api-docs;interactive;INDEFINIDO;installer;roslyn
1.023822831424673;0.44578595686028993;0.8956791374542847;core;project-system;install-scripts;efcore;msbuild;dotnet-api-docs;docfx;INDEFINIDO;installer;INDEFINIDO;fsharp;aspire;maui;EntityFramework.Docs;razor;orleans;winforms;INDEFINIDO;AspNetCore.Docs;csharplang;sdk;aspnetcore;eShop;arcade;tye;maintenance-packages;INDEFINIDO;INDEFINIDO;interactive;runtime;docs;INDEFINIDO;roslyn
1.0258971227556521;0.4730466712020347;0.8648200477268537;razor;aspnetcore;eShop;core;fsharp;dotnet-api-docs;install-scripts;AspNetCore.Docs;EntityFramework.Docs;roslyn;tye;interactive;sdk;INDEFINIDO;installer;msbuild;INDEFINIDO;csharplang;aspire;docs;INDEFINIDO;arcade;INDEFINIDO;runtime;orleans;efcore;project-system;INDEFINIDO;maui;INDEFINIDO;winforms;docfx;maintenance-packages
1.033619978871949;0.44656157616846653;0.8684820538659436;project-system;efcore;install-scripts;docfx;EntityFramework.Docs;msbuild;orleans;arcade;winforms;core;maui;fsharp;INDEFINIDO;dotnet-api-docs;aspnetcore;tye;csharplang;razor;interactive;INDEFINIDO;AspNetCore.Docs;INDEFINIDO;docs;runtime;aspire;INDEFINIDO;INDEFINIDO;INDEFINIDO;installer;maintenance-packages;sdk;eShop;roslyn
1.0199032903018193;0.45864444830533996;0.8738001819384674;installer;dotnet-api-docs;core;maintenance-packages;EntityFramework.Docs;eShop;install-scripts;INDEFINIDO;project-system;AspNetCore.Docs;interactive;sdk;INDEFINIDO;csharplang;INDEFINIDO;fsharp;tye;msbuild;docs;efcore;maui;aspire;INDEFINIDO;roslyn;orleans;runtime;razor;INDEFINIDO;docfx;INDEFINIDO;winforms;arcade;aspnetcore
1.0374996837131976;0.46295181432529137;0.8525931767318379;msbuild;INDEFINIDO;arcade;INDEFINIDO;INDEFINIDO;aspnetcore;docfx;efcore;fsharp;docs;sdk;orleans;AspNetCore.Docs;INDEFINIDO;EntityFramework.Docs;install-scripts;interactive;razor;eShop;dotnet-api-docs;aspire;core;project-system;runtime;tye;csharplang;INDEFINIDO;maui;INDEFINIDO;maintenance-packages;installer;winforms;roslyn
1.03219315597383;0.4677765940533885;0.8553523877294722;efcore;INDEFINIDO;AspNetCore.Docs;maui;docfx;arcade;install-scripts;razor;tye;roslyn;orleans;EntityFramework.Docs;project-system;INDEFINIDO;interactive;msbuild;csharplang;fsharp;aspnetcore;winforms;aspire;eShop;INDEFINIDO;runtime;maintenance-packages;installer;INDEFINIDO;INDEFINIDO;core;sdk;INDEFINIDO;dotnet-api-docs;docs
1.0333756891262376;0.45095664498399196;0.8601638803665718;efcore;AspNetCore.Docs;eShop;fsharp;core;project-system;install-scripts;EntityFramework.Docs;docfx;INDEFINIDO;orleans;dotnet-api-docs;tye;razor;INDEFINIDO;installer;INDEFINIDO;maui;csharplang;msbuild;docs;aspire;interactive;runtime;aspnetcore;maintenance-packages;winforms;sdk;arcade;INDEFINIDO;INDEFINIDO;INDEFINIDO;roslyn
1.0336417060606837;0.4676044566470071;0.8555568596406176;INDEFINIDO;efcore;INDEFINIDO;maui;docfx;arcade;install-scripts;razor;tye;roslyn;orleans;EntityFramework.Docs;winforms;aspnetcore;interactive;msbuild;csharplang;fsharp;INDEFINIDO;project-system;aspire;eShop;INDEFINIDO;runtime;maintenance-packages;installer;docs;sdk;INDEFINIDO;core;dotnet-api-docs;AspNetCore.Docs;INDEFINIDO
1.020002593284384;0.4557694781736811;0.8759667083236301;dotnet-api-docs;installer;project-system;INDEFINIDO;install-scripts;eShop;EntityFramework.Docs;maintenance-packages;core;AspNetCore.Docs;interactive;sdk;INDEFINIDO;csharplang;INDEFINIDO;fsharp;tye;msbuild;docs;efcore;maui;aspire;INDEFINIDO;roslyn;orleans;runtime;razor;INDEFINIDO;docfx;INDEFINIDO;winforms;arcade;aspnetcore
1.0332672694738014;0.4514845660823673;0.8601700107916983;efcore;AspNetCore.Docs;eShop;fsharp;core;project-system;install-scripts;EntityFramework.Docs;docfx;INDEFINIDO;orleans;csharplang;maui;INDEFINIDO;installer;INDEFINIDO;razor;tye;dotnet-api-docs;msbuild;docs;aspire;interactive;runtime;aspnetcore;maintenance-packages;winforms;sdk;arcade;INDEFINIDO;INDEFINIDO;INDEFINIDO;roslyn
1.050994288486184;0.4586432525132818;0.8484938886452771;project-system;eShop;core;installer;razor;docs;dotnet-api-docs;INDEFINIDO;orleans;interactive;tye;install-scripts;arcade;INDEFINIDO;sdk;EntityFramework.Docs;maui;docfx;csharplang;aspire;AspNetCore.Docs;roslyn;fsharp;maintenance-packages;aspnetcore;INDEFINIDO;runtime;INDEFINIDO;winforms;msbuild;INDEFINIDO;INDEFINIDO;efcore
