;geracao;hipervolume;quantidade_avaliacoes
0;1;0.15834490424235673;100
1;2;0.1925148157897958;170
2;3;0.24098343908391226;240
3;4;0.24407616832780293;310
4;5;0.2525868771955235;380
5;6;0.26947965124110773;450
6;7;0.27238622056461814;520
7;8;0.27936588898960196;590
8;9;0.2858856288286307;660
9;10;0.3270354961919354;730
10;11;0.3314959328644791;800
11;12;0.33782753172536206;870
12;13;0.3434370943448337;940
13;14;0.3529680682734433;1010
14;15;0.35303410173469485;1080
15;16;0.35481782654934546;1150
16;17;0.3580904591458589;1220
17;18;0.3652196562474143;1290
18;19;0.3671740868091331;1360
19;20;0.3673809853335771;1430
20;21;0.37055521608679376;1500
21;22;0.3749891525368557;1570
22;23;0.3767166313505135;1640
23;24;0.40674136363844005;1710
24;25;0.4089597683084546;1780
25;26;0.4089597683084546;1850
26;27;0.4094942576305978;1920
27;28;0.4095622618388829;1990
28;29;0.4102944576418857;2060
29;30;0.4132527587463975;2130
30;31;0.4168922543876404;2200
31;32;0.4194577360732911;2270
32;33;0.4195786230432456;2340
33;34;0.4203959606168219;2410
34;35;0.4206353509985759;2480
35;36;0.4236107276141267;2550
36;37;0.42572452040765374;2620
37;38;0.42703461933328335;2690
38;39;0.42979192360769175;2760
39;40;0.43256286895169344;2830
40;41;0.44276360901219536;2900
41;42;0.44495194802895455;2970
42;43;0.44577111008881876;3040
43;44;0.44577111008881876;3110
44;45;0.448316345251004;3180
45;46;0.448316345251004;3250
46;47;0.44933615146972444;3320
47;48;0.46245931680963454;3390
48;49;0.46769795088566835;3460
49;50;0.4685461781275875;3530
50;51;0.4685461781275875;3600
51;52;0.46910483303457096;3670
52;53;0.4693311052423529;3740
53;54;0.469996598977649;3810
54;55;0.47093539032390075;3880
55;56;0.47114602392452953;3950
56;57;0.47324403116678126;4020
57;58;0.4778840486336965;4090
58;59;0.4779143360863001;4160
59;60;0.4781874195478375;4230
60;61;0.47831992604205953;4300
61;62;0.47831992604205953;4370
62;63;0.4807150242802739;4440
63;64;0.4807150242802739;4510
64;65;0.48114071361434463;4580
65;66;0.4856825846748739;4650
66;67;0.48631842638311484;4720
67;68;0.48705398290394364;4790
68;69;0.48711706298379354;4860
69;70;0.4877949893900099;4930
70;71;0.49080440059234187;5000
71;72;0.4917400170081164;5070
72;73;0.49774812997213436;5140
73;74;0.4977778094103762;5210
74;75;0.49808579174618384;5280
75;76;0.4993516962730663;5350
76;77;0.5019514613478533;5420
77;78;0.5071611507712571;5490
78;79;0.5071611507712571;5560
79;80;0.5071613116657365;5630
80;81;0.5071613116657365;5700
81;82;0.507397201324083;5770
82;83;0.5074142078559285;5840
83;84;0.5074629535013935;5910
84;85;0.5251300590809206;5980
85;86;0.5258182109569771;6050
86;87;0.5284502470100738;6120
87;88;0.5284502470100738;6190
88;89;0.5301082150759829;6260
89;90;0.5301143731732179;6330
90;91;0.530202013822355;6400
91;92;0.530202013822355;6470
92;93;0.5310537236308117;6540
93;94;0.5336292955536661;6610
94;95;0.5339728696545166;6680
95;96;0.5345805923284702;6750
96;97;0.5347813411129353;6820
97;98;0.5348494935572028;6890
98;99;0.5348611780958953;6960
99;100;0.5348732713139417;7030
100;101;0.535184357149791;7100
101;102;0.5384881543275241;7170
102;103;0.5440284336054211;7240
103;104;0.5441137118796548;7310
104;105;0.5454496532208941;7380
105;106;0.5457855793288084;7450
106;107;0.5466206947288905;7520
107;108;0.5466298470307207;7590
108;109;0.5580150865099591;7660
109;110;0.5598500029077117;7730
110;111;0.5599261479458543;7800
111;112;0.5599261479458543;7870
112;113;0.5599344858251861;7940
113;114;0.5599344858251861;8010
114;115;0.5599540861997022;8080
115;116;0.5601229513173556;8150
116;117;0.5602575802972158;8220
117;118;0.562623576846849;8290
118;119;0.5628771187005052;8360
119;120;0.5628771187005052;8430
120;121;0.5634791590734851;8500
121;122;0.5634798241526782;8570
122;123;0.5634818416530547;8640
123;124;0.5634818416530547;8710
124;125;0.5634818416530547;8780
125;126;0.5634827000206235;8850
126;127;0.563717525638299;8920
127;128;0.5637838540304047;8990
128;129;0.5669557890215777;9060
129;130;0.5669623605823577;9130
130;131;0.567154295302174;9200
131;132;0.567154295302174;9270
132;133;0.567154295302174;9340
133;134;0.567154295302174;9410
134;135;0.5671831906133628;9480
135;136;0.5694237592837584;9550
136;137;0.5714952250893378;9620
137;138;0.5715118405900135;9690
138;139;0.5715118405900135;9760
139;140;0.5717179786024026;9830
140;141;0.5722290690166041;9900
141;142;0.5748019383432186;9970
142;143;0.574979538008666;10040
143;144;0.5751179366962459;10110
144;145;0.5760701053140558;10180
145;146;0.5760701053140558;10250
146;147;0.5760701053140558;10320
147;148;0.5760779745209295;10390
148;149;0.5760782707350427;10460
149;150;0.5764818265036713;10530
150;151;0.5793716561618276;10600
151;152;0.5799655818853047;10670
152;153;0.5799801176980821;10740
153;154;0.5802981537795636;10810
154;155;0.5806634318461742;10880
155;156;0.5812450985184269;10950
156;157;0.582512222724283;11020
157;158;0.5825514370671118;11090
158;159;0.5827211601830433;11160
159;160;0.5827236367966409;11230
160;161;0.5845303143293545;11300
161;162;0.5878036605846984;11370
162;163;0.5878057292201369;11440
163;164;0.5878071509087245;11510
164;165;0.5898807563844045;11580
165;166;0.5905924675113656;11650
166;167;0.5908336959473441;11720
167;168;0.5908336959473441;11790
168;169;0.5908336959473441;11860
169;170;0.5910077831427704;11930
170;171;0.5910077831427704;12000
171;172;0.5910664289036667;12070
172;173;0.5923148772158363;12140
173;174;0.5926676116266322;12210
174;175;0.5926676116266322;12280
175;176;0.5926676116266322;12350
176;177;0.5927112745087123;12420
177;178;0.5927112745087123;12490
178;179;0.5953443271258317;12560
179;180;0.5954033975899723;12630
180;181;0.5956278925492668;12700
181;182;0.5970989362077973;12770
182;183;0.5972753376090911;12840
183;184;0.5973013048872534;12910
184;185;0.597833938491667;12980
185;186;0.597837353063609;13050
186;187;0.5980357591498144;13120
187;188;0.5980357591498144;13190
188;189;0.5997982778326345;13260
189;190;0.6043753370074161;13330
190;191;0.6061470211315683;13400
191;192;0.6064432819464369;13470
192;193;0.6064432819464369;13540
193;194;0.606757359240023;13610
