;geracao;hipervolume;quantidade_avaliacoes
0;1;0.3506356996052338;1500
1;2;0.36103513702524326;2550
2;3;0.37662181296864594;3600
3;4;0.39273004933181843;4650
4;5;0.403672796332193;5700
5;6;0.4370536223302755;6750
6;7;0.44672053030124065;7800
7;8;0.4611040729191411;8850
8;9;0.4636287128397629;9900
9;10;0.47272273788038005;10950
10;11;0.48232846201577273;12000
11;12;0.48290500516226886;13050
12;13;0.5173365583734864;14100
13;14;0.5197999366954104;15150
14;15;0.5360236964926562;16200
15;16;0.5382973171496227;17250
16;17;0.5428735778755146;18300
17;18;0.5449255624001994;19350
18;19;0.5472400664760287;20400
19;20;0.5550800498037058;21450
20;21;0.5565300889157794;22500
21;22;0.5604012740003941;23550
22;23;0.5610909229823896;24600
23;24;0.5709547446414629;25650
24;25;0.5724515263694544;26700
25;26;0.5794131681115877;27750
26;27;0.586535465254348;28800
27;28;0.5914428634134592;29850
28;29;0.5932018716436388;30900
29;30;0.5946032573261659;31950
30;31;0.6023502166723972;33000
31;32;0.6147167951130875;34050
32;33;0.622272194882548;35100
33;34;0.6241830818378523;36150
34;35;0.6272813130399099;37200
35;36;0.6308288916305348;38250
36;37;0.6361683743959063;39300
37;38;0.6420792469039951;40350
38;39;0.6438217229385507;41400
39;40;0.6441137891677553;42450
40;41;0.646624958157226;43500
41;42;0.6466528862260581;44550
42;43;0.6470620422608712;45600
43;44;0.6471638061176822;46650
44;45;0.6487760766906977;47700
45;46;0.64987487189703;48750
46;47;0.6584696661566019;49800
47;48;0.6592616990749959;50850
48;49;0.6640610699490971;51900
49;50;0.6677446159998277;52950
50;51;0.6709690473096774;54000
51;52;0.6724800236721072;55050
52;53;0.6757360407660271;56100
53;54;0.6766737033623379;57150
54;55;0.6768982893185228;58200
55;56;0.6785025951913222;59250
56;57;0.6818272898156688;60300
57;58;0.6865477897062502;61350
58;59;0.6873339507775106;62400
59;60;0.6894849468197745;63450
60;61;0.690639541039116;64500
61;62;0.6940065245458377;65550
62;63;0.6940713272748645;66600
63;64;0.6940861794689897;67650
64;65;0.6978515104204324;68700
65;66;0.6996380714645947;69750
66;67;0.6997328499320095;70800
67;68;0.7004875976450723;71850
68;69;0.7011291400897515;72900
69;70;0.705044521205951;73950
70;71;0.7075773993543633;75000
71;72;0.7103683443769081;76050
72;73;0.7107530435575128;77100
73;74;0.7113784205334982;78150
74;75;0.7116570654518057;79200
75;76;0.7142906667355126;80250
76;77;0.7146285047320811;81300
77;78;0.7169773497643214;82350
78;79;0.7180159788734365;83400
79;80;0.7188813482886179;84450
80;81;0.7207950058798743;85500
81;82;0.7209696134506486;86550
82;83;0.7213549817540487;87600
83;84;0.7221646902490595;88650
84;85;0.723384295579337;89700
85;86;0.7243247805426879;90750
86;87;0.7251257232992554;91800
87;88;0.7278799900885569;92850
88;89;0.7310350877600696;93900
89;90;0.7327847053705391;94950
90;91;0.7329015971716571;96000
91;92;0.7329351887448817;97050
92;93;0.7334104244613218;98100
93;94;0.7366420678098332;99150
94;95;0.7371786312154972;100200
95;96;0.7376484071834418;101250
96;97;0.7388376540234476;102300
97;98;0.74084675446783;103350
98;99;0.7427944297146073;104400
99;100;0.7430795846419104;105450
