;geracao;hipervolume;quantidade_avaliacoes
0;1;0.32333262371428284;1000
1;2;0.36551974156452793;1700
2;3;0.38501966173667;2400
3;4;0.3982071122601343;3100
4;5;0.4069949888440336;3800
5;6;0.4097671369501631;4500
6;7;0.4309982207884212;5200
7;8;0.43253673961815653;5900
8;9;0.4331860934511564;6600
9;10;0.43767124094108645;7300
10;11;0.4484637483057783;8000
11;12;0.4560016074380719;8700
12;13;0.46239854230086597;9400
13;14;0.46424335165491376;10100
14;15;0.4660778222130309;10800
15;16;0.4699055215836149;11500
16;17;0.4803165764247061;12200
17;18;0.4841915999438926;12900
18;19;0.4857292746817277;13600
19;20;0.4886984032211225;14300
20;21;0.4971355064127544;15000
21;22;0.5001620605720035;15700
22;23;0.502163826368196;16400
23;24;0.5149183022322201;17100
24;25;0.5203893314620787;17800
25;26;0.5272269707163696;18500
26;27;0.5307934334267735;19200
27;28;0.5312165946938576;19900
28;29;0.53495172330925;20600
29;30;0.535728868610521;21300
30;31;0.5419623783771812;22000
31;32;0.5514694199684742;22700
32;33;0.5550581953027173;23400
33;34;0.55722143894328;24100
34;35;0.566542763342329;24800
35;36;0.5675684346661378;25500
36;37;0.57114002249927;26200
37;38;0.586673366104743;26900
38;39;0.5874937315320451;27600
39;40;0.588259980889296;28300
40;41;0.5886772857252862;29000
41;42;0.5909605258626613;29700
42;43;0.590984786262871;30400
43;44;0.5987593096377398;31100
44;45;0.5990191961731036;31800
45;46;0.6014554681478192;32500
46;47;0.6017781831548384;33200
47;48;0.6021247551106504;33900
48;49;0.6148491565715243;34600
49;50;0.6170012870328015;35300
50;51;0.6185281219344766;36000
51;52;0.6307926077881657;36700
52;53;0.6309964343984439;37400
53;54;0.6310096118771471;38100
54;55;0.6319021144412417;38800
55;56;0.6319817873002177;39500
56;57;0.632107742309647;40200
57;58;0.6322514513137266;40900
58;59;0.6396401540708467;41600
59;60;0.6400073282653915;42300
60;61;0.6455859974321259;43000
61;62;0.6458226420905155;43700
62;63;0.6481846546004835;44400
63;64;0.6516979262828038;45100
64;65;0.6555463389504652;45800
65;66;0.6574420528354841;46500
66;67;0.6575702705714965;47200
67;68;0.6579066658695255;47900
68;69;0.6579097588635964;48600
69;70;0.6614775444346168;49300
70;71;0.6624570415719031;50000
71;72;0.6629586484800992;50700
72;73;0.6631114770736007;51400
73;74;0.6634160915044309;52100
74;75;0.6640314252067603;52800
75;76;0.6641010850713355;53500
76;77;0.6665103020105256;54200
77;78;0.6666780367239222;54900
78;79;0.6669414592741661;55600
79;80;0.6684245702358934;56300
80;81;0.669099398149582;57000
81;82;0.6691543814226956;57700
82;83;0.6692743547393133;58400
83;84;0.670162466783965;59100
84;85;0.67132234637589;59800
85;86;0.672102142020882;60500
86;87;0.6725587550278267;61200
87;88;0.6727342063228217;61900
88;89;0.6750368161421951;62600
89;90;0.6792001540458992;63300
90;91;0.6830266123949665;64000
91;92;0.6841460814125572;64700
92;93;0.6895255058983043;65400
93;94;0.6905986568623883;66100
94;95;0.6936059775679491;66800
95;96;0.694589336761805;67500
96;97;0.694589336761805;68200
97;98;0.6949722953547909;68900
98;99;0.6962944473523113;69600
99;100;0.6979435247386789;70300
100;101;0.6982527767631783;71000
101;102;0.6982803359934641;71700
102;103;0.6999220285671494;72400
103;104;0.7036034126178975;73100
104;105;0.7065042900890298;73800
105;106;0.7117074929741583;74500
106;107;0.7121843060490027;75200
107;108;0.7127960844873303;75900
108;109;0.7127961742330381;76600
109;110;0.714541779280286;77300
110;111;0.715211983590291;78000
111;112;0.7159195773086535;78700
112;113;0.7163738161506454;79400
113;114;0.71823288685994;80100
114;115;0.7201303469625865;80800
115;116;0.7204590390054658;81500
116;117;0.7205305243789427;82200
117;118;0.7207031387180917;82900
118;119;0.7226872114187465;83600
119;120;0.7229958120569288;84300
120;121;0.725065468638713;85000
121;122;0.7268464914155586;85700
122;123;0.7285615973650155;86400
123;124;0.7289467972700434;87100
124;125;0.7291881120083117;87800
125;126;0.7294036090145518;88500
126;127;0.729457366649178;89200
127;128;0.7306510105875583;89900
128;129;0.7310279088927252;90600
129;130;0.7316785478390104;91300
130;131;0.7323354812482318;92000
131;132;0.7324207707695387;92700
132;133;0.7325520066638848;93400
133;134;0.7332613969884537;94100
134;135;0.734108110206599;94800
135;136;0.7362057674792201;95500
136;137;0.7369877907770244;96200
137;138;0.7370223038164675;96900
138;139;0.7370333128438737;97600
139;140;0.7370611176299797;98300
140;141;0.7392422406069226;99000
141;142;0.7412756736914563;99700
142;143;0.7435222669013604;100400
143;144;0.7437124507451902;101100
144;145;0.7445117981905518;101800
145;146;0.7449800882900377;102500
146;147;0.7454156255471911;103200
