;geracao;hipervolume;quantidade_avaliacoes
0;1;0.38088285611851874;1000
1;2;0.43057889283026407;1700
2;3;0.45354961939638905;2400
3;4;0.46908431479024837;3100
4;5;0.4794363525587923;3800
5;6;0.4827019175244209;4500
6;7;0.5077119389627562;5200
7;8;0.509524299990017;5900
8;9;0.5102892328313224;6600
9;10;0.5155726953117027;7300
10;11;0.528286169697685;8000
11;12;0.5371656984082309;8700
12;13;0.5447012288256567;9400
13;14;0.5468743972727255;10100
14;15;0.5490353867133039;10800
15;16;0.5535443813575291;11500
16;17;0.5658085081800222;12200
17;18;0.5703732502359256;12900
18;19;0.5721846169306936;13600
19;20;0.5756822230345148;14300
20;21;0.585621052974036;15000
21;22;0.5891863059297381;15700
22;23;0.5915443676216753;16400
23;24;0.6065690228500228;17100
24;25;0.6130138449500588;17800
25;26;0.6210685210862467;18500
26;27;0.6252697813481224;19200
27;28;0.6257682614277205;19900
28;29;0.6301682085739689;20600
29;30;0.6310836785892333;21300
30;31;0.6384266957469023;22000
31;32;0.6496259032779339;22700
32;33;0.6538534476054191;23400
33;34;0.6564017287124498;24100
34;35;0.6673821630995913;24800
35;36;0.6685903944829988;25500
36;37;0.6727976920922981;26200
37;38;0.691095827954861;26900
38;39;0.6920622108809705;27600
39;40;0.6929648455744207;28300
40;41;0.6934564268320683;29000
41;42;0.6961460627083926;29700
42;43;0.696174641236647;30400
43;44;0.705332958247667;31100
44;45;0.7056391021954044;31800
45;46;0.7085090081682427;32500
46;47;0.7088891634775764;33200
47;48;0.7092974220531074;33900
48;49;0.7242866499112247;34600
49;50;0.7268218397952969;35300
