;geracao;hipervolume;quantidade_avaliacoes
0;1;0.305460619161667;500
1;2;0.32745546229225986;850
2;3;0.33949746245709844;1200
3;4;0.35199112020895645;1550
4;5;0.35866727517679226;1900
5;6;0.3672665856169404;2250
6;7;0.3984154831271651;2600
7;8;0.4112587123363947;2950
8;9;0.4448628560112773;3300
9;10;0.45066650742853215;3650
10;11;0.47210776808341376;4000
11;12;0.505729334716594;4350
12;13;0.5082783025305173;4700
13;14;0.5116803824672472;5050
14;15;0.5135410521638345;5400
15;16;0.5140136631868453;5750
16;17;0.514642634328965;6100
17;18;0.5327297289012687;6450
18;19;0.5358402625245696;6800
19;20;0.5370993442553325;7150
20;21;0.5454559515543643;7500
21;22;0.5472322805546953;7850
22;23;0.5491112045056991;8200
23;24;0.5526286259808086;8550
24;25;0.556843950112944;8900
25;26;0.5586596252493476;9250
26;27;0.5688136905069306;9600
27;28;0.5735288957366319;9950
28;29;0.5739138864604124;10300
29;30;0.5789338102955879;10650
30;31;0.5793834889317361;11000
31;32;0.5797673086828523;11350
32;33;0.5818116379947011;11700
33;34;0.589052671164999;12050
34;35;0.5897986157139522;12400
35;36;0.5900112460386484;12750
36;37;0.604056757554585;13100
37;38;0.6042041906970766;13450
38;39;0.6078865407855475;13800
39;40;0.6088344131757115;14150
40;41;0.6102077326937592;14500
41;42;0.6143208156149549;14850
42;43;0.6262995952481384;15200
43;44;0.6270114162026779;15550
44;45;0.6297010559732976;15900
45;46;0.6318964633578725;16250
46;47;0.6322787390323448;16600
47;48;0.6323989154280447;16950
48;49;0.6386675713069407;17300
49;50;0.6439846860974017;17650
50;51;0.6512772495012571;18000
51;52;0.6517641480069307;18350
52;53;0.6536184278538895;18700
53;54;0.6568813636009698;19050
54;55;0.6572356689652048;19400
55;56;0.6579527463832213;19750
56;57;0.6583378187478578;20100
57;58;0.663430799490623;20450
58;59;0.6699464457276526;20800
59;60;0.6791070501563667;21150
60;61;0.679335433911779;21500
61;62;0.6799375697126013;21850
62;63;0.6821897574233262;22200
63;64;0.6823383614965459;22550
64;65;0.6913677602569953;22900
65;66;0.6920176099989993;23250
66;67;0.6926033104802055;23600
67;68;0.6970492463014661;23950
68;69;0.69871607116216;24300
69;70;0.7003727782500252;24650
70;71;0.7026391996171245;25000
71;72;0.7027650468758527;25350
72;73;0.710553160713025;25700
73;74;0.7106516203601934;26050
74;75;0.7118457611008607;26400
75;76;0.714013013254148;26750
76;77;0.714013013254148;27100
77;78;0.7186421579266751;27450
78;79;0.7188074037777408;27800
79;80;0.7202881665780049;28150
80;81;0.72049208543234;28500
81;82;0.7242891562909693;28850
82;83;0.7250705929964779;29200
83;84;0.7252059084394114;29550
84;85;0.7253327801204403;29900
85;86;0.7253465153144149;30250
86;87;0.7380198495132392;30600
87;88;0.7380694261123103;30950
88;89;0.7400671970630267;31300
89;90;0.742475779910355;31650
90;91;0.742508954609469;32000
91;92;0.7429505420135751;32350
92;93;0.7440112592754589;32700
93;94;0.7452999775660636;33050
94;95;0.7456799677065838;33400
95;96;0.7458725359244627;33750
96;97;0.7476635776542884;34100
97;98;0.7493580269415222;34450
98;99;0.7496717599235357;34800
99;100;0.7540158325347845;35150
