;geracao;hipervolume;quantidade_avaliacoes
0;1;0.3736963915153407;1000
1;2;0.38130626558337516;1300
2;3;0.39263681187209815;1600
3;4;0.40764187270620234;1900
4;5;0.4339737855303387;2200
5;6;0.44192875688897654;2500
6;7;0.4434635859496015;2800
7;8;0.4702797356770525;3100
8;9;0.47044637757044605;3400
9;10;0.4753838953268986;3700
10;11;0.47701013172672163;4000
11;12;0.47965962045043864;4300
12;13;0.4813867001128232;4600
13;14;0.49062579110661375;4900
14;15;0.4906622509564949;5200
15;16;0.5054811889228303;5500
16;17;0.5058983211371784;5800
17;18;0.509715043463846;6100
18;19;0.5099349756158364;6400
19;20;0.5115685568794771;6700
20;21;0.5187546344125384;7000
21;22;0.5187546344125384;7300
22;23;0.5190442431267763;7600
23;24;0.5209406905813033;7900
24;25;0.5211907320955045;8200
25;26;0.5222719859035282;8500
26;27;0.5251849526319448;8800
27;28;0.5286301707045021;9100
28;29;0.5292391171829414;9400
29;30;0.5294374325233366;9700
30;31;0.5357487904809155;10000
31;32;0.5358445389942469;10300
32;33;0.53785439016373;10600
33;34;0.5418902687384994;10900
34;35;0.5424418528538151;11200
35;36;0.5436740282276207;11500
36;37;0.5551965229329536;11800
37;38;0.5786127823463036;12100
38;39;0.5789204746549775;12400
39;40;0.5801298162707388;12700
40;41;0.5802978790991707;13000
41;42;0.582577544178858;13300
42;43;0.5849522096729315;13600
43;44;0.5850429009216617;13900
44;45;0.5908597142173578;14200
45;46;0.5995432321070409;14500
46;47;0.6001528206275758;14800
47;48;0.6066264721338369;15100
48;49;0.6070448433849601;15400
49;50;0.6100594970261313;15700
50;51;0.6106792805292072;16000
51;52;0.6185935966930077;16300
52;53;0.6188701592179776;16600
53;54;0.6243302119133838;16900
54;55;0.6243305704132688;17200
55;56;0.6245673528146171;17500
56;57;0.6246038089817143;17800
57;58;0.6451968869262094;18100
58;59;0.649922180859679;18400
59;60;0.65326620905201;18700
60;61;0.6556377731924687;19000
61;62;0.655698006614019;19300
62;63;0.6564351274263835;19600
63;64;0.6581960313959877;19900
64;65;0.6587459957510831;20200
65;66;0.6663778752247345;20500
66;67;0.6663781036566716;20800
67;68;0.6663781036566716;21100
68;69;0.6705159178827953;21400
69;70;0.6705283646836718;21700
70;71;0.6787915905399748;22000
71;72;0.6801888222358698;22300
72;73;0.6802585615916005;22600
73;74;0.6802945119326818;22900
74;75;0.6817620648821845;23200
75;76;0.6828917897232677;23500
76;77;0.6840272631366879;23800
77;78;0.6866292984136776;24100
78;79;0.6866292984136776;24400
79;80;0.6866441334063974;24700
80;81;0.6875995700943456;25000
81;82;0.6909820795985131;25300
82;83;0.690991856571063;25600
83;84;0.6931111816736618;25900
84;85;0.6950880642742414;26200
85;86;0.6958699635073494;26500
86;87;0.6958699635073494;26800
87;88;0.6962449601488244;27100
88;89;0.7050968201609471;27400
89;90;0.7051400146146308;27700
90;91;0.7087611903351811;28000
91;92;0.7099156160307872;28300
92;93;0.7113418140664601;28600
93;94;0.7118740089501476;28900
94;95;0.7119662187882497;29200
95;96;0.7123929932595301;29500
96;97;0.7129478009931804;29800
97;98;0.7137147452687074;30100
98;99;0.7145109339654413;30400
99;100;0.7157280046939725;30700
100;101;0.7179602538548717;31000
101;102;0.7183068995472464;31300
102;103;0.7190811024554626;31600
103;104;0.7191501058859863;31900
104;105;0.7191501058859863;32200
105;106;0.7220906423261596;32500
106;107;0.7221390737481753;32800
107;108;0.7239503399734734;33100
108;109;0.7242635725050451;33400
109;110;0.7290578324732451;33700
110;111;0.7293008657874942;34000
111;112;0.7293240822049888;34300
112;113;0.7293642323718053;34600
113;114;0.7293788554114123;34900
114;115;0.7310294074075772;35200
115;116;0.731029700913334;35500
116;117;0.7359069281600328;35800
117;118;0.7359746005392264;36100
118;119;0.7376140795352184;36400
119;120;0.7376902151029582;36700
120;121;0.7391058903957731;37000
121;122;0.7398138108115049;37300
122;123;0.7398491913121297;37600
123;124;0.740284002648854;37900
124;125;0.7402972097735514;38200
125;126;0.7469409853772971;38500
126;127;0.7470063515970469;38800
127;128;0.7493700541270081;39100
128;129;0.7497585360015827;39400
129;130;0.7504435078468382;39700
130;131;0.7693070752610387;40000
131;132;0.7695951124436917;40300
132;133;0.7695951124436917;40600
133;134;0.7724520715010286;40900
134;135;0.7770128197981447;41200
135;136;0.7770171938725006;41500
136;137;0.7770171938725006;41800
137;138;0.778310180322109;42100
138;139;0.7783270108056437;42400
139;140;0.7785339003916187;42700
140;141;0.7785714876237012;43000
141;142;0.7794614498331;43300
142;143;0.7799259080267559;43600
143;144;0.7858201830908744;43900
144;145;0.7858246529146335;44200
145;146;0.7858530392389868;44500
146;147;0.7866031607869323;44800
147;148;0.7892744031701632;45100
148;149;0.7899906191513691;45400
149;150;0.7900419716947019;45700
