;geracao;hipervolume;quantidade_avaliacoes
0;1;0.17742049656385575;100
1;2;0.2157068102491432;170
2;3;0.2700143817731805;240
3;4;0.2734796878454794;310
4;5;0.2830156700777227;380
5;6;0.3019434933243823;450
6;7;0.30520021304733097;520
7;8;0.3130207125053769;590
8;9;0.3203258764147705;660
9;10;0.366433011570569;730
10;11;0.37143079089994413;800
11;12;0.3785251487469238;870
12;13;0.3848104876418806;940
13;14;0.3954896448603719;1010
14;15;0.39556363328166744;1080
15;16;0.3975622409657152;1150
16;17;0.40122912309951464;1220
17;18;0.40921716474766007;1290
18;19;0.41140704286479224;1360
19;20;0.41163886616924794;1430
20;21;0.41519549212534435;1500
21;22;0.4201635787869683;1570
22;23;0.42209916459182384;1640
23;24;0.45574093498670465;1710
24;25;0.4582265878090471;1780
25;26;0.4582265878090471;1850
26;27;0.45882546632298776;1920
27;28;0.45890166290449497;1990
28;29;0.4597220653264884;2060
29;30;0.4630367488867787;2130
30;31;0.4671146895505528;2200
31;32;0.46998923127812825;2270
32;33;0.47012468133469987;2340
33;34;0.471040482438992;2410
34;35;0.4713087118500149;2480
35;36;0.47464252798461903;2550
36;37;0.47701096648193037;2620
37;38;0.47847889121904225;2690
38;39;0.48156836413819876;2760
39;40;0.4846731214477969;2830
40;41;0.49610273060075716;2900
41;42;0.4985546958020447;2970
42;43;0.4994725411859729;3040
43;44;0.4994725411859729;3110
44;45;0.5023243973193129;3180
45;46;0.5023243973193129;3250
46;47;0.5034670581873087;3320
47;48;0.5181711531642634;3390
48;49;0.5240408782655125;3460
49;50;0.5249912902739087;3530
50;51;0.5249912902739087;3600
51;52;0.5256172455673809;3670
52;53;0.5258707764760979;3740
53;54;0.5266164413242427;3810
54;55;0.5276683275697698;3880
55;56;0.5279043359098892;3950
56;57;0.5302550871923247;4020
57;58;0.5354540811668012;4090
58;59;0.5354880173070661;4160
59;60;0.5357939987567449;4230
60;61;0.5359424681256537;4300
61;62;0.5359424681256537;4370
62;63;0.5386261005467692;4440
63;64;0.5386261005467692;4510
64;65;0.5391030720880647;4580
65;66;0.5441920960938814;4650
66;67;0.5449045367761497;4720
67;68;0.5457287047770126;4790
68;69;0.5457993840271206;4860
69;70;0.5465589792929118;4930
70;71;0.5499309301140467;5000
71;72;0.550979258949599;5070
72;73;0.5577111609996722;5140
73;74;0.5577444158789233;5210
74;75;0.5580895004221447;5280
